BIOGUIDE_ID,OFFICE,YEAR,QUARTER,CATEGORY,YTD,AMOUNT
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2011,2010Q4,TRAVEL,88.00,88.00
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2011,2010Q4,"RENT, COMMUNICATION, UTILITIES","7,635.26","7,635.26"
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2011,2010Q4,OTHER SERVICES,"902,000.00","902,000.00"
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2011,2010Q4,SUPPLIES AND MATERIALS,19.28,19.28
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2011,2010Q4,EQUIPMENT,"128,867.31","128,867.31"
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2011,2010Q4,OTHER SERVICES,"89,767.27","89,767.27"
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2011,2010Q4,SUPPLIES AND MATERIALS,"3,205.94","3,205.94"
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2011,2010Q4,EQUIPMENT,"107,150.81","107,150.81"
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2011,2010Q4,"RENT, COMMUNICATION, UTILITIES","3,152.61","3,152.61"
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2011,2010Q4,SUPPLIES AND MATERIALS,"1,000.00","1,000.00"
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2011,2010Q4,EQUIPMENT,"4,336.00","4,336.00"
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2011,2010Q4,EQUIPMENT,"115,440.99","115,440.99"
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2011,2010Q4,EQUIPMENT,"15,360.46","15,360.46"
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2011,2010Q4,OTHER SERVICES,"238,400.08","238,400.08"
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2011,2010Q4,TRAVEL,602.55,602.55
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2011,2010Q4,SUPPLIES AND MATERIALS,52.99,52.99
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2011,2010Q4,EQUIPMENT,"323,647.96","323,647.96"
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2011,2010Q4,EQUIPMENT,"92,256.05","92,256.05"
,CLERK OF THE HOUSE,FISCAL YEAR 2011,2010Q4,PERSONNEL COMPENSATION,"5,080,438.00","5,080,438.00"
,CLERK OF THE HOUSE,FISCAL YEAR 2011,2010Q4,TRAVEL,"6,946.79","6,946.79"
,CLERK OF THE HOUSE,FISCAL YEAR 2011,2010Q4,"RENT, COMMUNICATION, UTILITIES","37,491.66","37,491.66"
,CLERK OF THE HOUSE,FISCAL YEAR 2011,2010Q4,PRINTING AND REPRODUCTION,"9,496.94","9,496.94"
,CLERK OF THE HOUSE,FISCAL YEAR 2011,2010Q4,OTHER SERVICES,"226,559.66","226,559.66"
,CLERK OF THE HOUSE,FISCAL YEAR 2011,2010Q4,SUPPLIES AND MATERIALS,"69,326.46","69,326.46"
,CLERK OF THE HOUSE,FISCAL YEAR 2011,2010Q4,EQUIPMENT,"72,563.32","72,563.32"
,OFFICE OF GENERAL COUNSEL,FISCAL YEAR 2011,2010Q4,PERSONNEL COMPENSATION,"268,263.00","268,263.00"
,OFFICE OF GENERAL COUNSEL,FISCAL YEAR 2011,2010Q4,TRAVEL,112.50,112.50
,OFFICE OF GENERAL COUNSEL,FISCAL YEAR 2011,2010Q4,"RENT, COMMUNICATION, UTILITIES","1,359.68","1,359.68"
,OFFICE OF GENERAL COUNSEL,FISCAL YEAR 2011,2010Q4,SUPPLIES AND MATERIALS,"4,605.56","4,605.56"
,OFFICE OF GENERAL COUNSEL,FISCAL YEAR 2011,2010Q4,EQUIPMENT,"3,735.51","3,735.51"
,SERGEANT AT ARMS,FISCAL YEAR 2011,2010Q4,PERSONNEL COMPENSATION,"1,930,841.75","1,930,841.75"
,SERGEANT AT ARMS,FISCAL YEAR 2011,2010Q4,TRAVEL,"5,658.93","5,658.93"
,SERGEANT AT ARMS,FISCAL YEAR 2011,2010Q4,"RENT, COMMUNICATION, UTILITIES","20,271.82","20,271.82"
,SERGEANT AT ARMS,FISCAL YEAR 2011,2010Q4,PRINTING AND REPRODUCTION,51.90,51.90
,SERGEANT AT ARMS,FISCAL YEAR 2011,2010Q4,SUPPLIES AND MATERIALS,"9,152.56","9,152.56"
,SERGEANT AT ARMS,FISCAL YEAR 2011,2010Q4,EQUIPMENT,"2,572.74","2,572.74"
,OFFICE OF THE CHAPLAIN,FISCAL YEAR 2011,2010Q4,PERSONNEL COMPENSATION,"43,125.00","43,125.00"
,OFFICE OF THE CHAPLAIN,FISCAL YEAR 2011,2010Q4,PRINTING AND REPRODUCTION,21.50,21.50
,OFFICE OF THE PARLIAMENTARIAN,FISCAL YEAR 2011,2010Q4,PERSONNEL COMPENSATION,"303,874.98","303,874.98"
,OFFICE OF THE PARLIAMENTARIAN,FISCAL YEAR 2011,2010Q4,"RENT, COMMUNICATION, UTILITIES","4,420.99","4,420.99"
,OFFICE OF THE PARLIAMENTARIAN,FISCAL YEAR 2011,2010Q4,SUPPLIES AND MATERIALS,"1,201.10","1,201.10"
,OFFICE OF THE PARLIAMENTARIAN,FISCAL YEAR 2011,2010Q4,EQUIPMENT,640.47,640.47
,COMPILATION OF PRECEDENTS,FISCAL YEAR 2011,2010Q4,PERSONNEL COMPENSATION,"79,249.98","79,249.98"
,TECHNICAL ASSISTANTS,FISCAL YEAR 2011,2010Q4,PERSONNEL COMPENSATION,"108,526.77","108,526.77"
,OFFICE OF THE FORMER SPEAKER,FISCAL YEAR 2011,2010Q4,PERSONNEL COMPENSATION,"63,729.00","63,729.00"
,OFFICE OF THE FORMER SPEAKER,FISCAL YEAR 2011,2010Q4,TRAVEL,26.00,26.00
,OFFICE OF THE FORMER SPEAKER,FISCAL YEAR 2011,2010Q4,"RENT, COMMUNICATION, UTILITIES","19,879.19","19,879.19"
,OFFICE OF THE FORMER SPEAKER,FISCAL YEAR 2011,2010Q4,OTHER SERVICES,"4,000.00","4,000.00"
,OFFICE OF THE FORMER SPEAKER,FISCAL YEAR 2011,2010Q4,SUPPLIES AND MATERIALS,88.61,88.61
,OFFICE OF INSPECTOR GENERAL,FISCAL YEAR 2011,2010Q4,PERSONNEL COMPENSATION,"693,994.75","693,994.75"
,OFFICE OF INSPECTOR GENERAL,FISCAL YEAR 2011,2010Q4,"RENT, COMMUNICATION, UTILITIES","5,436.67","5,436.67"
,OFFICE OF INSPECTOR GENERAL,FISCAL YEAR 2011,2010Q4,PRINTING AND REPRODUCTION,318.65,318.65
,OFFICE OF INSPECTOR GENERAL,FISCAL YEAR 2011,2010Q4,OTHER SERVICES,"40,249.58","40,249.58"
,OFFICE OF INSPECTOR GENERAL,FISCAL YEAR 2011,2010Q4,SUPPLIES AND MATERIALS,"6,053.74","6,053.74"
,OFFICE OF INSPECTOR GENERAL,FISCAL YEAR 2011,2010Q4,EQUIPMENT,"4,228.87","4,228.87"
,OFFICE OF THE HISTORIAN,FISCAL YEAR 2011,2010Q4,PERSONNEL COMPENSATION,"101,088.53","101,088.53"
,OFFICE OF THE HISTORIAN,FISCAL YEAR 2011,2010Q4,TRAVEL,10.00,10.00
,OFFICE OF THE HISTORIAN,FISCAL YEAR 2011,2010Q4,"RENT, COMMUNICATION, UTILITIES","1,094.53","1,094.53"
,OFFICE OF THE HISTORIAN,FISCAL YEAR 2011,2010Q4,PRINTING AND REPRODUCTION,343.60,343.60
,OFFICE OF THE HISTORIAN,FISCAL YEAR 2011,2010Q4,OTHER SERVICES,"13,599.90","13,599.90"
,OFFICE OF THE HISTORIAN,FISCAL YEAR 2011,2010Q4,SUPPLIES AND MATERIALS,"2,615.46","2,615.46"
,OFFICE OF THE HISTORIAN,FISCAL YEAR 2011,2010Q4,EQUIPMENT,514.49,514.49
,LAW REVISION COUNSEL,FISCAL YEAR 2011,2010Q4,PERSONNEL COMPENSATION,"571,221.24","571,221.24"
,LAW REVISION COUNSEL,FISCAL YEAR 2011,2010Q4,"RENT, COMMUNICATION, UTILITIES","1,351.29","1,351.29"
,LAW REVISION COUNSEL,FISCAL YEAR 2011,2010Q4,OTHER SERVICES,"2,317.00","2,317.00"
,LAW REVISION COUNSEL,FISCAL YEAR 2011,2010Q4,SUPPLIES AND MATERIALS,"8,163.37","8,163.37"
,LAW REVISION COUNSEL,FISCAL YEAR 2011,2010Q4,EQUIPMENT,739.11,739.11
,LEGISLATIVE COUNSEL,FISCAL YEAR 2011,2010Q4,PERSONNEL COMPENSATION,"1,849,659.36","1,849,659.36"
,LEGISLATIVE COUNSEL,FISCAL YEAR 2011,2010Q4,"RENT, COMMUNICATION, UTILITIES","8,738.61","8,738.61"
,LEGISLATIVE COUNSEL,FISCAL YEAR 2011,2010Q4,PRINTING AND REPRODUCTION,199.90,199.90
,LEGISLATIVE COUNSEL,FISCAL YEAR 2011,2010Q4,OTHER SERVICES,"37,167.00","37,167.00"
,LEGISLATIVE COUNSEL,FISCAL YEAR 2011,2010Q4,SUPPLIES AND MATERIALS,"12,198.74","12,198.74"
,LEGISLATIVE COUNSEL,FISCAL YEAR 2011,2010Q4,EQUIPMENT,537.23,537.23
,INTERPARLIAMENTARY AFFAIRS,FISCAL YEAR 2011,2010Q4,PERSONNEL COMPENSATION,"86,624.76","86,624.76"
,INTERPARLIAMENTARY AFFAIRS,FISCAL YEAR 2011,2010Q4,TRAVEL,24.00,24.00
,INTERPARLIAMENTARY AFFAIRS,FISCAL YEAR 2011,2010Q4,"RENT, COMMUNICATION, UTILITIES","1,361.80","1,361.80"
,INTERPARLIAMENTARY AFFAIRS,FISCAL YEAR 2011,2010Q4,PRINTING AND REPRODUCTION,28.00,28.00
,INTERPARLIAMENTARY AFFAIRS,FISCAL YEAR 2011,2010Q4,OTHER SERVICES,"1,009.77","1,009.77"
,INTERPARLIAMENTARY AFFAIRS,FISCAL YEAR 2011,2010Q4,SUPPLIES AND MATERIALS,"1,789.90","1,789.90"
,INTERPARLIAMENTARY AFFAIRS,FISCAL YEAR 2011,2010Q4,EQUIPMENT,570.00,570.00
,AFS IMMEDIATE OFFICE,FISCAL YEAR 2011,2010Q4,OTHER SERVICES,"766,347.26","766,347.26"
,TECHNOLOGY INFRASTRUCTURE,FISCAL YEAR 2011,2010Q4,OTHER SERVICES,"83,901.16","83,901.16"
,TECHNOLOGY INFRASTRUCTURE,FISCAL YEAR 2011,2010Q4,OTHER SERVICES,"164,231.30","164,231.30"
,FURNISHINGS & LOGISTICS,FISCAL YEAR 2011,2010Q4,SUPPLIES AND MATERIALS,266.17,266.17
,FURNISHINGS & LOGISTICS,FISCAL YEAR 2011,2010Q4,EQUIPMENT,717.02,717.02
,FURNISHINGS & LOGISTICS,FISCAL YEAR 2011,2010Q4,SUPPLIES AND MATERIALS,"9,974.00","9,974.00"
,FURNISHINGS & LOGISTICS,FISCAL YEAR 2011,2010Q4,EQUIPMENT,"18,590.47","18,590.47"
,CLERK OF THE HOUSE,FISCAL YEAR 2011,2010Q4,OTHER SERVICES,"35,000.00","35,000.00"
,OEPPO,FISCAL YEAR 2011,2010Q4,PERSONNEL COMPENSATION,"365,331.55","365,331.55"
,OEPPO,FISCAL YEAR 2011,2010Q4,TRAVEL,"41,054.96","41,054.96"
,OEPPO,FISCAL YEAR 2011,2010Q4,"RENT, COMMUNICATION, UTILITIES","11,273.69","11,273.69"
,OEPPO,FISCAL YEAR 2011,2010Q4,PRINTING AND REPRODUCTION,118.50,118.50
,OEPPO,FISCAL YEAR 2011,2010Q4,OTHER SERVICES,"296,150.55","296,150.55"
,OEPPO,FISCAL YEAR 2011,2010Q4,SUPPLIES AND MATERIALS,"5,406.06","5,406.06"
,OEPPO,FISCAL YEAR 2011,2010Q4,EQUIPMENT,"115,188.45","115,188.45"
,LIFE CYCLE REPLACEMENT,FISCAL YEAR 2011,2010Q4,OTHER SERVICES,"6,400.00","6,400.00"
,LIFE CYCLE REPLACEMENT,FISCAL YEAR 2011,2010Q4,EQUIPMENT,"9,615.54","9,615.54"
,LIFE CYCLE REPLACEMENT,FISCAL YEAR 2011,2010Q4,"RENT, COMMUNICATION, UTILITIES",-800.00,-800.00
,LIFE CYCLE REPLACEMENT,FISCAL YEAR 2011,2010Q4,OTHER SERVICES,"7,900.00","7,900.00"
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2011,2010Q4,TRAVEL,"13,008.52","13,008.52"
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2011,2010Q4,PRINTING AND REPRODUCTION,215.50,215.50
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2011,2010Q4,SUPPLIES AND MATERIALS,39.51,39.51
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2011,2010Q4,EQUIPMENT,80.00,80.00
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2011,2010Q4,PERSONNEL COMPENSATION,"360,061.14","360,061.14"
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2011,2010Q4,OTHER SERVICES,"4,160.00","4,160.00"
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2011,2010Q4,SUPPLIES AND MATERIALS,"2,335.97","2,335.97"
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2011,2010Q4,EQUIPMENT,"47,734.44","47,734.44"
,HOUSE RECORDING STUDIO,FISCAL YEAR 2011,2010Q4,SUPPLIES AND MATERIALS,"9,143.65","9,143.65"
,HOUSE RECORDING STUDIO,FISCAL YEAR 2011,2010Q4,OTHER SERVICES,"3,250.00","3,250.00"
,HOUSE RECORDING STUDIO,FISCAL YEAR 2011,2010Q4,SUPPLIES AND MATERIALS,488.60,488.60
,HOUSE RECORDING STUDIO,FISCAL YEAR 2011,2010Q4,EQUIPMENT,-770.00,-770.00
,COMMITTEE RENOVATION PROJECT,FISCAL YEAR 2011,2010Q4,OTHER SERVICES,"10,629.12","10,629.12"
,COMMITTEE RENOVATION PROJECT,FISCAL YEAR 2011,2010Q4,EQUIPMENT,"14,819.79","14,819.79"
A000014,HON. NEIL ABERCROMBIE,2010,2010Q4,FRANKED MAIL,"1,976.11",0.00
A000014,HON. NEIL ABERCROMBIE,2010,2010Q4,PERSONNEL COMPENSATION,"393,294.85",0.00
A000014,HON. NEIL ABERCROMBIE,2010,2010Q4,TRAVEL,"11,342.59",0.00
A000014,HON. NEIL ABERCROMBIE,2010,2010Q4,"RENT, COMMUNICATION, UTILITIES","36,224.42",0.00
A000014,HON. NEIL ABERCROMBIE,2010,2010Q4,PRINTING AND REPRODUCTION,809.17,640.45
A000014,HON. NEIL ABERCROMBIE,2010,2010Q4,OTHER SERVICES,"27,984.94","2,496.00"
A000014,HON. NEIL ABERCROMBIE,2010,2010Q4,SUPPLIES AND MATERIALS,"7,554.66",0.00
A000014,HON. NEIL ABERCROMBIE,2010,2010Q4,EQUIPMENT,"10,465.64",0.00
A000022,HON. GARY L. ACKERMAN,2010,2010Q4,FRANKED MAIL,"61,562.77","1,049.18"
A000022,HON. GARY L. ACKERMAN,2010,2010Q4,PERSONNEL COMPENSATION,"1,022,840.96","335,248.04"
A000022,HON. GARY L. ACKERMAN,2010,2010Q4,TRAVEL,"14,982.81","4,355.97"
A000022,HON. GARY L. ACKERMAN,2010,2010Q4,"RENT, COMMUNICATION, UTILITIES","123,168.07","30,063.09"
A000022,HON. GARY L. ACKERMAN,2010,2010Q4,PRINTING AND REPRODUCTION,"33,530.86",552.09
A000022,HON. GARY L. ACKERMAN,2010,2010Q4,OTHER SERVICES,"51,813.47","11,988.00"
A000022,HON. GARY L. ACKERMAN,2010,2010Q4,SUPPLIES AND MATERIALS,"58,538.03","33,657.00"
A000022,HON. GARY L. ACKERMAN,2010,2010Q4,EQUIPMENT,"2,983.16",641.04
