BIOGUIDE_ID,OFFICE,YEAR,QUARTER,CATEGORY,YTD,AMOUNT
,ADMINISTRATION,FISCAL YEAR 2009,2009Q3,OTHER SERVICES,28018.01,6334.49
,ADMINISTRATION,FISCAL YEAR 2010,2009Q4,"RENT, COMMUNICATION, UTILITIES",12893.74,12893.74
,ADMINISTRATION,FISCAL YEAR 2010,2009Q4,TRAVEL,10772.31,10772.31
,ADMINISTRATION,FISCAL YEAR 2009,2009Q3,SUPPLIES AND MATERIALS,6488.36,928.13
,ADMINISTRATION,FISCAL YEAR 2010,2009Q4,SUPPLIES AND MATERIALS,4039.87,4039.87
,ALT CHAMBER 1,FISCAL YEAR 2009,2009Q3,"RENT, COMMUNICATION, UTILITIES",100026.52,64003.08
,ALTERNATE COMPUTER FACILITY,FISCAL YEAR 2009,2009Q3,EQUIPMENT,2765574.59,495813.59
,ALTERNATE COMPUTER FACILITY,FISCAL YEAR 2009,2009Q3,"RENT, COMMUNICATION, UTILITIES",1652641.75,297031.62
,ALTERNATE COMPUTER FACILITY,FISCAL YEAR 2010,2009Q4,EQUIPMENT,1028585.42,1028585.42
,ALTERNATE COMPUTER FACILITY,FISCAL YEAR 2009,2009Q3,OTHER SERVICES,368506.53,129045.19
,ALTERNATE COMPUTER FACILITY,FISCAL YEAR 2010,2009Q4,"RENT, COMMUNICATION, UTILITIES",69881.58,69881.58
,ALTERNATE COMPUTER FACILITY,FISCAL YEAR 2010,2009Q4,OTHER SERVICES,46478.45,46478.45
,ALTERNATE COMPUTER FACILITY,FISCAL YEAR 2009,2009Q3,SUPPLIES AND MATERIALS,32148.09,6127.49
,ALTERNATE COMPUTER FACILITY,FISCAL YEAR 2010,2009Q4,SUPPLIES AND MATERIALS,1622.1,1622.1
,ALTERNATE COMPUTER FACILITY,FISCAL YEAR 2009,2009Q3,TRAVEL,653.69,653.69
,ALTERNATE SITE,FISCAL YEAR 2010,2009Q4,EQUIPMENT,73073.92,73073.92
,ALTERNATE SITE,FISCAL YEAR 2009,2009Q3,EQUIPMENT,35198.12,0
,ALTERNATE SITE,FISCAL YEAR 2010,2009Q4,"RENT, COMMUNICATION, UTILITIES",24199.33,24199.33
,ALTERNATE SITE,FISCAL YEAR 2009,2009Q3,OTHER SERVICES,1996.8,0
,ALTERNATE SITE,FISCAL YEAR 2010,2009Q4,SUPPLIES AND MATERIALS,1669,1669
,ALT HOUSE OFFICE SITE 1,FISCAL YEAR 2009,2009Q3,"RENT, COMMUNICATION, UTILITIES",245639.16,245639.16
,ARMED SERVICES COMMITTEE,2009,2009Q4,PERSONNEL COMPENSATION,7121368.74,1948935.29
,ARMED SERVICES COMMITTEE,2009,2009Q3,PERSONNEL COMPENSATION,5172433.45,1729851.9
,ARMED SERVICES COMMITTEE,2009,2009Q4,OTHER SERVICES,80483.22,31301.46
,ARMED SERVICES COMMITTEE,2009,2009Q4,SUPPLIES AND MATERIALS,74327.8,14259.58
,ARMED SERVICES COMMITTEE,2009,2009Q4,"RENT, COMMUNICATION, UTILITIES",72020.56,18098.97
,ARMED SERVICES COMMITTEE,2009,2009Q3,SUPPLIES AND MATERIALS,60068.22,29807.72
,ARMED SERVICES COMMITTEE,2009,2009Q3,"RENT, COMMUNICATION, UTILITIES",53921.59,18948.44
,ARMED SERVICES COMMITTEE,2009,2009Q3,OTHER SERVICES,49181.76,17718.25
,ARMED SERVICES COMMITTEE,2009,2009Q4,EQUIPMENT,31434.82,6364.53
,ARMED SERVICES COMMITTEE,2009,2009Q3,EQUIPMENT,25070.29,12443.27
,ARMED SERVICES COMMITTEE,2009,2009Q4,PERSONNEL BENEFITS,7520.45,0
,ARMED SERVICES COMMITTEE,2009,2009Q3,PERSONNEL BENEFITS,7520.45,0
,ARMED SERVICES COMMITTEE,2009,2009Q4,PRINTING AND REPRODUCTION,306.4,130
,ARMED SERVICES COMMITTEE,2009,2009Q3,PRINTING AND REPRODUCTION,176.4,0
,CAMPUS VOICE NETWORK ENHANCMNT,FISCAL YEAR 2009,2009Q3,"RENT, COMMUNICATION, UTILITIES",732057.52,355953.41
,CAMPUS VOICE NETWORK ENHANCMNT,FISCAL YEAR 2010,2009Q4,"RENT, COMMUNICATION, UTILITIES",58183.93,58183.93
,CAMPUS VOICE NETWORK ENHANCMNT,FISCAL YEAR 2009,2009Q3,OTHER SERVICES,46231.11,11531.82
,CAMPUS VOICE NETWORK ENHANCMNT,FISCAL YEAR 2009,2009Q3,EQUIPMENT,6363,0
,CAO OPERATIONS MANAGEMENT,FISCAL YEAR 2009,2009Q3,OTHER SERVICES,7821990.96,2890218.46
,CAO OPERATIONS MANAGEMENT,FISCAL YEAR 2009,2009Q3,PERSONNEL COMPENSATION,4490929.34,-157.44
,CAO OPERATIONS MANAGEMENT,FISCAL YEAR 2009,2009Q3,OTHER SERVICES,2632820.89,912339.21
,CAO OPERATIONS MANAGEMENT,FISCAL YEAR 2009,2009Q3,OTHER SERVICES,427226.15,205425.6
,CAO OPERATIONS MANAGEMENT,FISCAL YEAR 2009,2009Q3,EQUIPMENT,394472.93,52811.58
,CAO OPERATIONS MANAGEMENT,FISCAL YEAR 2009,2009Q3,SUPPLIES AND MATERIALS,348082.81,76568.92
,CAO OPERATIONS MANAGEMENT,FISCAL YEAR 2009,2009Q3,EQUIPMENT,347106.97,91739.69
,CAO OPERATIONS MANAGEMENT,FISCAL YEAR 2009,2009Q3,"RENT, COMMUNICATION, UTILITIES",225591.4,69024.3
,CAO OPERATIONS MANAGEMENT,FISCAL YEAR 2009,2009Q3,EQUIPMENT,107598.27,28438.01
,CAO OPERATIONS MANAGEMENT,FISCAL YEAR 2010,2009Q4,OTHER SERVICES,106937.48,106937.48
,CAO OPERATIONS MANAGEMENT,FISCAL YEAR 2010,2009Q4,SUPPLIES AND MATERIALS,74253.23,74253.23
,CAO OPERATIONS MANAGEMENT,FISCAL YEAR 2010,2009Q4,"RENT, COMMUNICATION, UTILITIES",36759.13,36759.13
,CAO OPERATIONS MANAGEMENT,FISCAL YEAR 2010,2009Q4,EQUIPMENT,30435.96,30435.96
,CAO OPERATIONS MANAGEMENT,FISCAL YEAR 2009,2009Q3,TRAVEL,20071.39,7456.39
,CAO OPERATIONS MANAGEMENT,FISCAL YEAR 2010,2009Q4,TRAVEL,2954.12,2954.12
,CAO OPERATIONS MANAGEMENT,FISCAL YEAR 2009,2009Q3,PRINTING AND REPRODUCTION,274.72,274.72
,CAO OPERATIONS MANAGEMENT,FISCAL YEAR 2010,2009Q4,PRINTING AND REPRODUCTION,127.36,127.36
,CAO OPERATIONS MANAGEMENT,FISCAL YEAR 2010,2009Q4,SUPPLIES AND MATERIALS,107.63,107.63
,CAO OPERATIONS MANAGEMENT,FISCAL YEAR 2010,2009Q4,"RENT, COMMUNICATION, UTILITIES",-29906.75,-29906.75
,CDN ENHANCE,FISCAL YEAR 2009,2009Q3,OTHER SERVICES,194178.48,81963.66
,CDN ENHANCE,FISCAL YEAR 2009,2009Q3,"RENT, COMMUNICATION, UTILITIES",77916.63,21249.99
,CDN ENHANCE,FISCAL YEAR 2010,2009Q4,EQUIPMENT,59602.53,59602.53
,CDN ENHANCE,FISCAL YEAR 2009,2009Q3,EQUIPMENT,16611.05,8724
,CDN ENHANCE,FISCAL YEAR 2010,2009Q4,"RENT, COMMUNICATION, UTILITIES",14166.66,14166.66
,CDN ENHANCE,FISCAL YEAR 2009,2009Q3,SUPPLIES AND MATERIALS,514,514
,CDN ENHANCE,FISCAL YEAR 2010,2009Q4,SUPPLIES AND MATERIALS,53.31,53.31
,CHIEF ADMINISTRATIVE OFFICER,FISCAL YEAR 2009,2009Q3,PERSONNEL COMPENSATION,6723369.29,-32947.35
,CHIEF ADMINISTRATIVE OFFICER,FISCAL YEAR 2009,2009Q3,SUPPLIES AND MATERIALS,1486636.01,296739.44
,CHIEF ADMINISTRATIVE OFFICER,FISCAL YEAR 2009,2009Q3,OTHER SERVICES,929585,459847.3
,CHIEF ADMINISTRATIVE OFFICER,FISCAL YEAR 2010,2009Q4,"RENT, COMMUNICATION, UTILITIES",517060.98,517060.98
,CHIEF ADMINISTRATIVE OFFICER,FISCAL YEAR 2009,2009Q3,EQUIPMENT,437168.01,273557.65
,CHIEF ADMINISTRATIVE OFFICER,FISCAL YEAR 2009,2009Q3,OTHER SERVICES,385404.56,56252.29
,CHIEF ADMINISTRATIVE OFFICER,FISCAL YEAR 2009,2009Q3,PERSONNEL COMPENSATION,376663.57,165695.84
,CHIEF ADMINISTRATIVE OFFICER,FISCAL YEAR 2009,2009Q3,EQUIPMENT,368388.62,45758.85
,CHIEF ADMINISTRATIVE OFFICER,FISCAL YEAR 2009,2009Q3,OTHER SERVICES,344719.51,102136.52
,CHIEF ADMINISTRATIVE OFFICER,FISCAL YEAR 2009,2009Q3,EQUIPMENT,340430.38,15049.8
,CHIEF ADMINISTRATIVE OFFICER,FISCAL YEAR 2010,2009Q4,EQUIPMENT,298892.08,298892.08
,CHIEF ADMINISTRATIVE OFFICER,FISCAL YEAR 2010,2009Q4,EQUIPMENT,215246.53,215246.53
,CHIEF ADMINISTRATIVE OFFICER,FISCAL YEAR 2009,2009Q3,"RENT, COMMUNICATION, UTILITIES",209205.03,54181.47
,CHIEF ADMINISTRATIVE OFFICER,FISCAL YEAR 2009,2009Q3,OTHER SERVICES,156726.63,118986.63
,CHIEF ADMINISTRATIVE OFFICER,FISCAL YEAR 2010,2009Q4,EQUIPMENT,85159.83,85159.83
,CHIEF ADMINISTRATIVE OFFICER,FISCAL YEAR 2010,2009Q4,EQUIPMENT,69965.47,69965.47
,CHIEF ADMINISTRATIVE OFFICER,FISCAL YEAR 2009,2009Q3,OTHER SERVICES,66522.77,24190.48
,CHIEF ADMINISTRATIVE OFFICER,FISCAL YEAR 2010,2009Q4,OTHER SERVICES,53580,53580
,CHIEF ADMINISTRATIVE OFFICER,FISCAL YEAR 2009,2009Q3,"RENT, COMMUNICATION, UTILITIES",44124.09,10121.78
,CHIEF ADMINISTRATIVE OFFICER,FISCAL YEAR 2009,2009Q3,TRAVEL,43792.93,16040.83
,CHIEF ADMINISTRATIVE OFFICER,FISCAL YEAR 2009,2009Q3,EQUIPMENT,43697.99,43697.99
,CHIEF ADMINISTRATIVE OFFICER,FISCAL YEAR 2010,2009Q4,OTHER SERVICES,34032.25,34032.25
,CHIEF ADMINISTRATIVE OFFICER,FISCAL YEAR 2009,2009Q3,OTHER SERVICES,29781,29781
,CHIEF ADMINISTRATIVE OFFICER,FISCAL YEAR 2009,2009Q3,SUPPLIES AND MATERIALS,28955.51,133.29
,CHIEF ADMINISTRATIVE OFFICER,FISCAL YEAR 2009,2009Q3,TRAVEL,27546.42,6822.26
,CHIEF ADMINISTRATIVE OFFICER,FISCAL YEAR 2010,2009Q4,EQUIPMENT,26398.35,26398.35
,CHIEF ADMINISTRATIVE OFFICER,FISCAL YEAR 2010,2009Q4,OTHER SERVICES,25827.87,25827.87
,CHIEF ADMINISTRATIVE OFFICER,FISCAL YEAR 2009,2009Q3,TRAVEL,20612.57,12926.23
,CHIEF ADMINISTRATIVE OFFICER,FISCAL YEAR 2009,2009Q3,SUPPLIES AND MATERIALS,14019.46,3839.74
,CHIEF ADMINISTRATIVE OFFICER,FISCAL YEAR 2009,2009Q3,OTHER SERVICES,13284.53,10638.68
,CHIEF ADMINISTRATIVE OFFICER,FISCAL YEAR 2009,2009Q3,SUPPLIES AND MATERIALS,12093.55,11734.5
,CHIEF ADMINISTRATIVE OFFICER,FISCAL YEAR 2009,2009Q3,SUPPLIES AND MATERIALS,10561.16,0
,CHIEF ADMINISTRATIVE OFFICER,FISCAL YEAR 2009,2009Q3,OTHER SERVICES,8830,0
,CHIEF ADMINISTRATIVE OFFICER,FISCAL YEAR 2009,2009Q3,EQUIPMENT,8724.87,2483.59
,CHIEF ADMINISTRATIVE OFFICER,FISCAL YEAR 2010,2009Q4,"RENT, COMMUNICATION, UTILITIES",6640.36,6640.36
,CHIEF ADMINISTRATIVE OFFICER,FISCAL YEAR 2009,2009Q3,TRAVEL,6064.25,1273.43
,CHIEF ADMINISTRATIVE OFFICER,FISCAL YEAR 2009,2009Q3,SUPPLIES AND MATERIALS,5481.04,3988.34
,CHIEF ADMINISTRATIVE OFFICER,FISCAL YEAR 2009,2009Q3,TRAVEL,5235.38,1550.21
,CHIEF ADMINISTRATIVE OFFICER,FISCAL YEAR 2010,2009Q4,TRAVEL,4759.88,4759.88
,CHIEF ADMINISTRATIVE OFFICER,FISCAL YEAR 2010,2009Q4,SUPPLIES AND MATERIALS,4634.37,4634.37
,CHIEF ADMINISTRATIVE OFFICER,FISCAL YEAR 2009,2009Q3,PRINTING AND REPRODUCTION,4135,1000
,CHIEF ADMINISTRATIVE OFFICER,FISCAL YEAR 2009,2009Q3,PRINTING AND REPRODUCTION,3448.82,1935.67
,CHIEF ADMINISTRATIVE OFFICER,FISCAL YEAR 2009,2009Q3,OTHER SERVICES,2531.03,21
,CHIEF ADMINISTRATIVE OFFICER,FISCAL YEAR 2010,2009Q4,TRAVEL,2103.73,2103.73
,CHIEF ADMINISTRATIVE OFFICER,FISCAL YEAR 2009,2009Q3,SUPPLIES AND MATERIALS,2101.24,15
,CHIEF ADMINISTRATIVE OFFICER,FISCAL YEAR 2009,2009Q3,PRINTING AND REPRODUCTION,1961,0
,CHIEF ADMINISTRATIVE OFFICER,FISCAL YEAR 2010,2009Q4,EQUIPMENT,1739.1,1739.1
,CHIEF ADMINISTRATIVE OFFICER,FISCAL YEAR 2010,2009Q4,EQUIPMENT,1726.41,1726.41
,CHIEF ADMINISTRATIVE OFFICER,FISCAL YEAR 2010,2009Q4,TRAVEL,1437.65,1437.65
,CHIEF ADMINISTRATIVE OFFICER,FISCAL YEAR 2009,2009Q3,SUPPLIES AND MATERIALS,1209.95,1025
,CHIEF ADMINISTRATIVE OFFICER,FISCAL YEAR 2009,2009Q3,PRINTING AND REPRODUCTION,939.23,382.45
,CHIEF ADMINISTRATIVE OFFICER,FISCAL YEAR 2009,2009Q3,EQUIPMENT,760.47,0
,CHIEF ADMINISTRATIVE OFFICER,FISCAL YEAR 2009,2009Q3,TRANSPORTATION OF THINGS,595,0
,CHIEF ADMINISTRATIVE OFFICER,FISCAL YEAR 2009,2009Q3,PRINTING AND REPRODUCTION,445,420
,CHIEF ADMINISTRATIVE OFFICER,FISCAL YEAR 2009,2009Q3,PRINTING AND REPRODUCTION,351.5,351.5
,CHIEF ADMINISTRATIVE OFFICER,FISCAL YEAR 2010,2009Q4,SUPPLIES AND MATERIALS,293.99,293.99
,CHIEF ADMINISTRATIVE OFFICER,FISCAL YEAR 2010,2009Q4,PRINTING AND REPRODUCTION,193.37,193.37
,CHIEF ADMINISTRATIVE OFFICER,FISCAL YEAR 2009,2009Q3,OTHER SERVICES,113.76,80
,CHIEF ADMINISTRATIVE OFFICER,FISCAL YEAR 2009,2009Q3,"RENT, COMMUNICATION, UTILITIES",102.9,0
,CHIEF ADMINISTRATIVE OFFICER,FISCAL YEAR 2009,2009Q3,"RENT, COMMUNICATION, UTILITIES",79.98,29.99
,CHIEF ADMINISTRATIVE OFFICER,FISCAL YEAR 2009,2009Q3,TRAVEL,65,0
,CHIEF ADMINISTRATIVE OFFICER,FISCAL YEAR 2009,2009Q3,"RENT, COMMUNICATION, UTILITIES",21.94,21.94
,CHIEF ADMINISTRATIVE OFFICER,FISCAL YEAR 2010,2009Q4,SUPPLIES AND MATERIALS,-143335.68,-143335.68
,CHIEF DEPUTY MINORITY WHIP,FISCAL YEAR 2009,2009Q3,PERSONNEL COMPENSATION,28000,0
,CHILD CARE CTR,FISCAL YEAR 2009,2009Q3,OTHER SERVICES,3870,3870
,CHILD CARE CTR,FISCAL YEAR 2009,2009Q3,SUPPLIES AND MATERIALS,1920,0
,CLERK OF THE HOUSE,FISCAL YEAR 2009,2009Q3,PERSONNEL COMPENSATION,19074442.23,4813808.45
,CLERK OF THE HOUSE,FISCAL YEAR 2010,2009Q4,PERSONNEL COMPENSATION,4984628.8,4984628.8
,CLERK OF THE HOUSE,FISCAL YEAR 2009,2009Q3,OTHER SERVICES,1378276.29,446835.33
,CLERK OF THE HOUSE,FISCAL YEAR 2009,2009Q3,EQUIPMENT,919858.43,407777.42
,CLERK OF THE HOUSE,FISCAL YEAR 2009,2009Q3,SUPPLIES AND MATERIALS,456657.65,163252.71
,CLERK OF THE HOUSE,FISCAL YEAR 2009,2009Q3,EQUIPMENT,201871.2,201871.2
,CLERK OF THE HOUSE,FISCAL YEAR 2009,2009Q3,"RENT, COMMUNICATION, UTILITIES",195773.43,50952.03
,CLERK OF THE HOUSE,FISCAL YEAR 2010,2009Q4,OTHER SERVICES,149993.86,149993.86
,CLERK OF THE HOUSE,FISCAL YEAR 2010,2009Q4,SUPPLIES AND MATERIALS,108563.15,108563.15
,CLERK OF THE HOUSE,FISCAL YEAR 2009,2009Q3,TRAVEL,65549.04,14318.26
,CLERK OF THE HOUSE,FISCAL YEAR 2009,2009Q3,OTHER SERVICES,44250,33450
,CLERK OF THE HOUSE,FISCAL YEAR 2010,2009Q4,"RENT, COMMUNICATION, UTILITIES",33367.01,33367.01
,CLERK OF THE HOUSE,FISCAL YEAR 2009,2009Q3,PERSONNEL BENEFITS,32224,0
,CLERK OF THE HOUSE,FISCAL YEAR 2010,2009Q4,EQUIPMENT,26052.24,26052.24
,CLERK OF THE HOUSE,FISCAL YEAR 2009,2009Q3,SUPPLIES AND MATERIALS,13988.42,7035.3
,CLERK OF THE HOUSE,FISCAL YEAR 2010,2009Q4,SUPPLIES AND MATERIALS,7800.5,7800.5
,CLERK OF THE HOUSE,FISCAL YEAR 2009,2009Q3,EQUIPMENT,6301,6301
,CLERK OF THE HOUSE,FISCAL YEAR 2009,2009Q3,PRINTING AND REPRODUCTION,3294.82,-4419.11
,CLERK OF THE HOUSE,FISCAL YEAR 2009,2009Q3,TRANSPORTATION OF THINGS,2740.21,0
,CLERK OF THE HOUSE,FISCAL YEAR 2010,2009Q4,TRAVEL,2403.45,2403.45
,CLERK OF THE HOUSE,FISCAL YEAR 2009,2009Q3,SUPPLIES AND MATERIALS,1979.16,1979.16
,CLERK OF THE HOUSE,FISCAL YEAR 2009,2009Q3,SUPPLIES AND MATERIALS,852,0
,CLERK OF THE HOUSE,FISCAL YEAR 2009,2009Q3,OTHER SERVICES,820,820
,CLERK OF THE HOUSE,FISCAL YEAR 2009,2009Q3,PRINTING AND REPRODUCTION,80,80
,CLERK OF THE HOUSE,FISCAL YEAR 2010,2009Q4,PRINTING AND REPRODUCTION,-2035.45,-2035.45
,CLOAKROOM PERSONNEL - MAJ,FISCAL YEAR 2009,2009Q3,PERSONNEL COMPENSATION,476528.48,130106.51
,CLOAKROOM PERSONNEL - MAJ,FISCAL YEAR 2010,2009Q4,PERSONNEL COMPENSATION,119516.25,119516.25
,CLOAKROOM PERSONNEL - MIN,FISCAL YEAR 2009,2009Q3,PERSONNEL COMPENSATION,334258.35,102600
,CLOAKROOM PERSONNEL - MIN,FISCAL YEAR 2010,2009Q4,PERSONNEL COMPENSATION,93099.99,93099.99
,COMMITTEE ON AGRICULTURE,2009,2009Q4,PERSONNEL COMPENSATION,4888355.47,1268938.92
,COMMITTEE ON AGRICULTURE,2009,2009Q3,PERSONNEL COMPENSATION,3619416.55,1245438.56
,COMMITTEE ON AGRICULTURE,2009,2009Q4,OTHER SERVICES,104183.3,29475.21
,COMMITTEE ON AGRICULTURE,2009,2009Q4,"RENT, COMMUNICATION, UTILITIES",92144.28,25575.17
,COMMITTEE ON AGRICULTURE,2009,2009Q3,OTHER SERVICES,74708.09,34906.25
,COMMITTEE ON AGRICULTURE,2009,2009Q3,"RENT, COMMUNICATION, UTILITIES",66569.11,26345.55
,COMMITTEE ON AGRICULTURE,2009,2009Q4,SUPPLIES AND MATERIALS,45405.53,7999.35
,COMMITTEE ON AGRICULTURE,2009,2009Q3,SUPPLIES AND MATERIALS,37406.18,12129.45
,COMMITTEE ON AGRICULTURE,2009,2009Q4,EQUIPMENT,14137.23,4972.12
,COMMITTEE ON AGRICULTURE,2009,2009Q4,TRAVEL,12219.73,147
,COMMITTEE ON AGRICULTURE,2009,2009Q3,TRAVEL,12072.73,11918.43
,COMMITTEE ON AGRICULTURE,2009,2009Q3,EQUIPMENT,9165.11,1190.7
,COMMITTEE ON AGRICULTURE,2009,2009Q4,PERSONNEL BENEFITS,5891.93,0
,COMMITTEE ON AGRICULTURE,2009,2009Q3,PERSONNEL BENEFITS,5891.93,0
,COMMITTEE ON AGRICULTURE,2009,2009Q4,PRINTING AND REPRODUCTION,1562.7,538.9
,COMMITTEE ON AGRICULTURE,2009,2009Q3,PRINTING AND REPRODUCTION,1023.8,382.9
,COMMITTEE ON APPROPRIATIONS,FISCAL YEAR 2009,2009Q3,PERSONNEL COMPENSATION,24908177.19,6756052.31
,COMMITTEE ON APPROPRIATIONS,FISCAL YEAR 2010,2009Q4,PERSONNEL COMPENSATION,4493636.19,4493636.19
,COMMITTEE ON APPROPRIATIONS,FISCAL YEAR 2009,2009Q3,OTHER SERVICES,2591524.28,836029.73
,COMMITTEE ON APPROPRIATIONS,FISCAL YEAR 2009,2009Q3,"RENT, COMMUNICATION, UTILITIES",214290.53,61835.43
,COMMITTEE ON APPROPRIATIONS,FISCAL YEAR 2009,2009Q3,TRAVEL,156909.31,26902.19
,COMMITTEE ON APPROPRIATIONS,FISCAL YEAR 2009,2009Q3,SUPPLIES AND MATERIALS,149221.74,48494.8
,COMMITTEE ON APPROPRIATIONS,FISCAL YEAR 2009,2009Q3,EQUIPMENT,136020.33,29315.56
,COMMITTEE ON APPROPRIATIONS,FISCAL YEAR 2010,2009Q4,"RENT, COMMUNICATION, UTILITIES",38319.42,38319.42
,COMMITTEE ON APPROPRIATIONS,FISCAL YEAR 2010,2009Q4,OTHER SERVICES,32325,32325
,COMMITTEE ON APPROPRIATIONS,FISCAL YEAR 2010,2009Q4,TRAVEL,19420.57,19420.57
,COMMITTEE ON APPROPRIATIONS,FISCAL YEAR 2009,2009Q3,PERSONNEL BENEFITS,15679.12,60
,COMMITTEE ON APPROPRIATIONS,FISCAL YEAR 2010,2009Q4,EQUIPMENT,13209.28,13209.28
,COMMITTEE ON APPROPRIATIONS,FISCAL YEAR 2010,2009Q4,SUPPLIES AND MATERIALS,13110.6,13110.6
,COMMITTEE ON APPROPRIATIONS,FISCAL YEAR 2009,2009Q3,PRINTING AND REPRODUCTION,9141.28,2928.6
,COMMITTEE ON APPROPRIATIONS,FISCAL YEAR 2010,2009Q4,PRINTING AND REPRODUCTION,435.05,435.05
,COMMITTEE ON BUDGET,2009,2009Q4,PERSONNEL COMPENSATION,4689905.51,1200979.59
,COMMITTEE ON BUDGET,2009,2009Q3,PERSONNEL COMPENSATION,3488925.92,1193398.96
,COMMITTEE ON BUDGET,2009,2009Q4,SUPPLIES AND MATERIALS,149046.18,32834.92
,COMMITTEE ON BUDGET,2009,2009Q3,SUPPLIES AND MATERIALS,116211.26,25221.87
,COMMITTEE ON BUDGET,2009,2009Q4,EQUIPMENT,64626.68,17748.75
,COMMITTEE ON BUDGET,2009,2009Q3,EQUIPMENT,46877.93,9616.41
,COMMITTEE ON BUDGET,2009,2009Q4,"RENT, COMMUNICATION, UTILITIES",40440.92,11487.43
,COMMITTEE ON BUDGET,2009,2009Q3,"RENT, COMMUNICATION, UTILITIES",28953.49,10884.23
,COMMITTEE ON BUDGET,2009,2009Q4,OTHER SERVICES,7820.43,2558.44
,COMMITTEE ON BUDGET,2009,2009Q4,PERSONNEL BENEFITS,6279.96,0
,COMMITTEE ON BUDGET,2009,2009Q3,PERSONNEL BENEFITS,6279.96,0
,COMMITTEE ON BUDGET,2009,2009Q3,OTHER SERVICES,5261.99,5261.99
,COMMITTEE ON BUDGET,2009,2009Q4,TRAVEL,1182.72,82.55
,COMMITTEE ON BUDGET,2009,2009Q4,PRINTING AND REPRODUCTION,1125.1,737.9
,COMMITTEE ON BUDGET,2009,2009Q3,TRAVEL,1100.17,66
,COMMITTEE ON BUDGET,2009,2009Q3,PRINTING AND REPRODUCTION,387.2,0
,COMMITTEE ON ENERGY & COMMERCE,2009,2009Q4,PERSONNEL COMPENSATION,10457741,3033740.36
