OFFICE,YEAR,QUARTER,CATEGORY,YTD,AMOUNT
"CAO ADVANCED BUSINESS SOLUTION","FISCAL YEAR 2010",2010Q1,EQUIPMENT,298892.08,0
"CAO ADVANCED BUSINESS SOLUTION","FISCAL YEAR 2010",2010Q1,TRAVEL,1437.65,0
"CAO ADVANCED BUSINESS SOLUTION","FISCAL YEAR 2010",2010Q1,"OTHER SERVICES",186756.91,160929.04
"CAO ADVANCED BUSINESS SOLUTION","FISCAL YEAR 2010",2010Q1,"SUPPLIES AND MATERIALS",1300,1300
"CAO ADVANCED BUSINESS SOLUTION","FISCAL YEAR 2010",2010Q1,"OTHER SERVICES",31616.65,31616.65
"CAO ADVANCED BUSINESS SOLUTION","FISCAL YEAR 2010",2010Q1,"SUPPLIES AND MATERIALS",1431,1431
"CAO ADVANCED BUSINESS SOLUTION","FISCAL YEAR 2010",2010Q1,EQUIPMENT,89690.28,19724.81
"CAO ADVANCED BUSINESS SOLUTION","FISCAL YEAR 2010",2010Q1,"OTHER SERVICES",847624.61,847624.61
"CAO ADVANCED BUSINESS SOLUTION","FISCAL YEAR 2010",2010Q1,EQUIPMENT,52796.7,26398.35
"CAO ADVANCED BUSINESS SOLUTION","FISCAL YEAR 2010",2010Q1,"OTHER SERVICES",731270.96,731270.96
"CAO ADVANCED BUSINESS SOLUTION","FISCAL YEAR 2010",2010Q1,EQUIPMENT,170319.66,85159.83
"CAO ADVANCED BUSINESS SOLUTION","FISCAL YEAR 2010",2010Q1,"RENT, COMMUNICATION, UTILITIES",16712.36,10072
"CAO ADVANCED BUSINESS SOLUTION","FISCAL YEAR 2010",2010Q1,"PRINTING AND REPRODUCTION",8.38,8.38
"CAO ADVANCED BUSINESS SOLUTION","FISCAL YEAR 2010",2010Q1,"OTHER SERVICES",1619.25,1619.25
"CAO ADVANCED BUSINESS SOLUTION","FISCAL YEAR 2010",2010Q1,"SUPPLIES AND MATERIALS",8031.64,3397.27
"CAO ADVANCED BUSINESS SOLUTION","FISCAL YEAR 2010",2010Q1,EQUIPMENT,8338.06,6598.96
"CAO ADVANCED BUSINESS SOLUTION","FISCAL YEAR 2010",2010Q1,"SUPPLIES AND MATERIALS",513.4,513.4
"HOUSE INFORMATION RESOURCES","FISCAL YEAR 2010",2010Q1,TRAVEL,32640.7,13826.42
"HOUSE INFORMATION RESOURCES","FISCAL YEAR 2010",2010Q1,"TRANSPORTATION OF THINGS",14.95,0
"HOUSE INFORMATION RESOURCES","FISCAL YEAR 2010",2010Q1,"RENT, COMMUNICATION, UTILITIES",219133.21,133651.35
"HOUSE INFORMATION RESOURCES","FISCAL YEAR 2010",2010Q1,"PRINTING AND REPRODUCTION",335.9,300
"HOUSE INFORMATION RESOURCES","FISCAL YEAR 2010",2010Q1,"OTHER SERVICES",384782.55,99142.62
"HOUSE INFORMATION RESOURCES","FISCAL YEAR 2010",2010Q1,"SUPPLIES AND MATERIALS",65088.33,30272.77
"HOUSE INFORMATION RESOURCES","FISCAL YEAR 2010",2010Q1,EQUIPMENT,82014.74,10971.6
"HOUSE INFORMATION RESOURCES","FISCAL YEAR 2010",2010Q1,"RENT, COMMUNICATION, UTILITIES",673460.81,418106.63
"HOUSE INFORMATION RESOURCES","FISCAL YEAR 2010",2010Q1,"OTHER SERVICES",902000,0
"HOUSE INFORMATION RESOURCES","FISCAL YEAR 2010",2010Q1,"SUPPLIES AND MATERIALS",1288.74,1210.4
"HOUSE INFORMATION RESOURCES","FISCAL YEAR 2010",2010Q1,EQUIPMENT,1880.97,1880.97
"HOUSE INFORMATION RESOURCES","FISCAL YEAR 2010",2010Q1,"TRANSPORTATION OF THINGS",3486.46,3397.33
"HOUSE INFORMATION RESOURCES","FISCAL YEAR 2010",2010Q1,"OTHER SERVICES",357425.46,270616.12
"HOUSE INFORMATION RESOURCES","FISCAL YEAR 2010",2010Q1,"SUPPLIES AND MATERIALS",497772.25,469534.43
"HOUSE INFORMATION RESOURCES","FISCAL YEAR 2010",2010Q1,EQUIPMENT,1100562.67,814347.29
"HOUSE INFORMATION RESOURCES","FISCAL YEAR 2010",2010Q1,"TRANSPORTATION OF THINGS",20.35,20.35
"HOUSE INFORMATION RESOURCES","FISCAL YEAR 2010",2010Q1,"RENT, COMMUNICATION, UTILITIES",1485930.88,918744.19
"HOUSE INFORMATION RESOURCES","FISCAL YEAR 2010",2010Q1,"OTHER SERVICES",4963,4963
"HOUSE INFORMATION RESOURCES","FISCAL YEAR 2010",2010Q1,"SUPPLIES AND MATERIALS",2313.42,2313.42
"HOUSE INFORMATION RESOURCES","FISCAL YEAR 2010",2010Q1,EQUIPMENT,434389.21,205339.6
"HOUSE INFORMATION RESOURCES","FISCAL YEAR 2010",2010Q1,"OTHER SERVICES",912.96,0
"HOUSE INFORMATION RESOURCES","FISCAL YEAR 2010",2010Q1,"SUPPLIES AND MATERIALS",20383.6,18636.15
"HOUSE INFORMATION RESOURCES","FISCAL YEAR 2010",2010Q1,EQUIPMENT,673899.1,137657.38
"HOUSE INFORMATION RESOURCES","FISCAL YEAR 2010",2010Q1,"RENT, COMMUNICATION, UTILITIES",103.65,103.65
"HOUSE INFORMATION RESOURCES","FISCAL YEAR 2010",2010Q1,"SUPPLIES AND MATERIALS",1738.42,1688.43
"HOUSE INFORMATION RESOURCES","FISCAL YEAR 2010",2010Q1,EQUIPMENT,30369.96,30000
"HOUSE INFORMATION RESOURCES","FISCAL YEAR 2010",2010Q1,"OTHER SERVICES",7555.19,7555.19
"HOUSE INFORMATION RESOURCES","FISCAL YEAR 2010",2010Q1,"OTHER SERVICES",934513.08,373438.08
"HOUSE INFORMATION RESOURCES","FISCAL YEAR 2010",2010Q1,"SUPPLIES AND MATERIALS",3595.64,3595.64
"HOUSE INFORMATION RESOURCES","FISCAL YEAR 2010",2010Q1,EQUIPMENT,773179.14,363729.57
"HOUSE INFORMATION RESOURCES","FISCAL YEAR 2010",2010Q1,EQUIPMENT,1655040,0
"HOUSE INFORMATION RESOURCES","FISCAL YEAR 2010",2010Q1,"OTHER SERVICES",15264.6,15264.6
"HOUSE INFORMATION RESOURCES","FISCAL YEAR 2010",2010Q1,"SUPPLIES AND MATERIALS",477,477
"HOUSE INFORMATION RESOURCES","FISCAL YEAR 2010",2010Q1,EQUIPMENT,113366.5,113366.5
"HOUSE INFORMATION RESOURCES","FISCAL YEAR 2010",2010Q1,"TRANSPORTATION OF THINGS",28.28,28.28
"HOUSE INFORMATION RESOURCES","FISCAL YEAR 2010",2010Q1,"OTHER SERVICES",117926.6,84324.5
"HOUSE INFORMATION RESOURCES","FISCAL YEAR 2010",2010Q1,"SUPPLIES AND MATERIALS",5925.78,5925.78
"HOUSE INFORMATION RESOURCES","FISCAL YEAR 2010",2010Q1,EQUIPMENT,657760.36,417256.05
"CAO OPERATIONS MANAGEMENT","FISCAL YEAR 2010",2010Q1,TRAVEL,6140.19,3186.07
"CAO OPERATIONS MANAGEMENT","FISCAL YEAR 2010",2010Q1,"RENT, COMMUNICATION, UTILITIES",92219.84,55460.71
"CAO OPERATIONS MANAGEMENT","FISCAL YEAR 2010",2010Q1,"PRINTING AND REPRODUCTION",207.91,80.55
"CAO OPERATIONS MANAGEMENT","FISCAL YEAR 2010",2010Q1,"OTHER SERVICES",188199.36,81261.88
"CAO OPERATIONS MANAGEMENT","FISCAL YEAR 2010",2010Q1,"SUPPLIES AND MATERIALS",158504.85,84251.62
"CAO OPERATIONS MANAGEMENT","FISCAL YEAR 2010",2010Q1,EQUIPMENT,667685.44,637249.48
"CAO OPERATIONS MANAGEMENT","FISCAL YEAR 2010",2010Q1,"RENT, COMMUNICATION, UTILITIES",-49327.5,-19420.75
"CAO OPERATIONS MANAGEMENT","FISCAL YEAR 2010",2010Q1,"SUPPLIES AND MATERIALS",0,-107.63
COMMUNICATIONS,"FISCAL YEAR 2010",2010Q1,TRAVEL,13884.89,7662.66
COMMUNICATIONS,"FISCAL YEAR 2010",2010Q1,"TRANSPORTATION OF THINGS",17478.21,17475.01
COMMUNICATIONS,"FISCAL YEAR 2010",2010Q1,"RENT, COMMUNICATION, UTILITIES",40443.77,24823.95
COMMUNICATIONS,"FISCAL YEAR 2010",2010Q1,"PRINTING AND REPRODUCTION",55.9,49.4
COMMUNICATIONS,"FISCAL YEAR 2010",2010Q1,"OTHER SERVICES",91026.42,71403.92
COMMUNICATIONS,"FISCAL YEAR 2010",2010Q1,"SUPPLIES AND MATERIALS",219976.45,149812.37
COMMUNICATIONS,"FISCAL YEAR 2010",2010Q1,EQUIPMENT,46153.17,35978.63
COMMUNICATIONS,"FISCAL YEAR 2010",2010Q1,"RENT, COMMUNICATION, UTILITIES",43.36,43.36
COMMUNICATIONS,"FISCAL YEAR 2010",2010Q1,"PRINTING AND REPRODUCTION",124.5,0
COMMUNICATIONS,"FISCAL YEAR 2010",2010Q1,"OTHER SERVICES",680321.81,431701.46
COMMUNICATIONS,"FISCAL YEAR 2010",2010Q1,"SUPPLIES AND MATERIALS",142311.59,94971.17
COMMUNICATIONS,"FISCAL YEAR 2010",2010Q1,EQUIPMENT,490671,468800
"OFFICE OF FINANCE","FISCAL YEAR 2010",2010Q1,TRAVEL,1938.29,0
"OFFICE OF FINANCE","FISCAL YEAR 2010",2010Q1,"RENT, COMMUNICATION, UTILITIES",33272.98,20286.48
"OFFICE OF FINANCE","FISCAL YEAR 2010",2010Q1,"PRINTING AND REPRODUCTION",749.73,355.83
"OFFICE OF FINANCE","FISCAL YEAR 2010",2010Q1,"OTHER SERVICES",135177.38,134654.18
"OFFICE OF FINANCE","FISCAL YEAR 2010",2010Q1,"SUPPLIES AND MATERIALS",30938.09,17670.08
"OFFICE OF FINANCE","FISCAL YEAR 2010",2010Q1,EQUIPMENT,11686.57,4017.57
"OFFICE OF FINANCE","FISCAL YEAR 2010",2010Q1,"PERSONNEL COMPENSATION",29782000.28,15134791.21
"CLERK OF THE HOUSE","FISCAL YEAR 2010",2010Q1,"PERSONNEL COMPENSATION",10076355.08,5091726.28
"CLERK OF THE HOUSE","FISCAL YEAR 2010",2010Q1,TRAVEL,21327.27,18923.82
"CLERK OF THE HOUSE","FISCAL YEAR 2010",2010Q1,"RENT, COMMUNICATION, UTILITIES",88577.75,55210.74
"CLERK OF THE HOUSE","FISCAL YEAR 2010",2010Q1,"PRINTING AND REPRODUCTION",3548.25,5583.7
"CLERK OF THE HOUSE","FISCAL YEAR 2010",2010Q1,"OTHER SERVICES",584012.13,434018.27
"CLERK OF THE HOUSE","FISCAL YEAR 2010",2010Q1,"SUPPLIES AND MATERIALS",148894.61,40331.46
"CLERK OF THE HOUSE","FISCAL YEAR 2010",2010Q1,EQUIPMENT,157749.57,131697.33
"CLERK OF THE HOUSE","FISCAL YEAR 2010",2010Q1,"SUPPLIES AND MATERIALS",7800.5,0
"CLERK OF THE HOUSE","FISCAL YEAR 2010",2010Q1,"SUPPLIES AND MATERIALS",9565.5,9565.5
"OFFICE OF GENERAL COUNSEL","FISCAL YEAR 2010",2010Q1,"FRANKED MAIL",200,200
"OFFICE OF GENERAL COUNSEL","FISCAL YEAR 2010",2010Q1,"PERSONNEL COMPENSATION",526014.02,261848.01
"OFFICE OF GENERAL COUNSEL","FISCAL YEAR 2010",2010Q1,TRAVEL,4684.54,2707.32
"OFFICE OF GENERAL COUNSEL","FISCAL YEAR 2010",2010Q1,"RENT, COMMUNICATION, UTILITIES",3506.99,2371.94
"OFFICE OF GENERAL COUNSEL","FISCAL YEAR 2010",2010Q1,"PRINTING AND REPRODUCTION",2,0
"OFFICE OF GENERAL COUNSEL","FISCAL YEAR 2010",2010Q1,"OTHER SERVICES",3035.73,790.23
"OFFICE OF GENERAL COUNSEL","FISCAL YEAR 2010",2010Q1,"SUPPLIES AND MATERIALS",9036.69,5929.77
"OFFICE OF GENERAL COUNSEL","FISCAL YEAR 2010",2010Q1,EQUIPMENT,3369.69,1790.84
"SERGEANT AT ARMS","FISCAL YEAR 2010",2010Q1,"PERSONNEL COMPENSATION",3700438.45,1843883.57
"SERGEANT AT ARMS","FISCAL YEAR 2010",2010Q1,TRAVEL,7795.22,5752.34
"SERGEANT AT ARMS","FISCAL YEAR 2010",2010Q1,"RENT, COMMUNICATION, UTILITIES",45490.89,25080.27
"SERGEANT AT ARMS","FISCAL YEAR 2010",2010Q1,"PRINTING AND REPRODUCTION",175.97,169.47
"SERGEANT AT ARMS","FISCAL YEAR 2010",2010Q1,"OTHER SERVICES",126693.09,108568.09
"SERGEANT AT ARMS","FISCAL YEAR 2010",2010Q1,"SUPPLIES AND MATERIALS",31747.11,23999.76
"SERGEANT AT ARMS","FISCAL YEAR 2010",2010Q1,EQUIPMENT,29822.45,24479.68
"SERGEANT AT ARMS","FISCAL YEAR 2010",2010Q1,"OTHER SERVICES",92,92
"OFFICE OF THE CHAPLAIN","FISCAL YEAR 2010",2010Q1,"PERSONNEL COMPENSATION",86250,43125
"OFFICE OF THE CHAPLAIN","FISCAL YEAR 2010",2010Q1,"PRINTING AND REPRODUCTION",24.7,0
"OFFICE OF THE PARLIAMENTARIAN","FISCAL YEAR 2010",2010Q1,"PERSONNEL COMPENSATION",593999.97,303874.98
"OFFICE OF THE PARLIAMENTARIAN","FISCAL YEAR 2010",2010Q1,"RENT, COMMUNICATION, UTILITIES",10587.92,5462.8
"OFFICE OF THE PARLIAMENTARIAN","FISCAL YEAR 2010",2010Q1,"PRINTING AND REPRODUCTION",12.8,12.8
"OFFICE OF THE PARLIAMENTARIAN","FISCAL YEAR 2010",2010Q1,"OTHER SERVICES",14375,5200
"OFFICE OF THE PARLIAMENTARIAN","FISCAL YEAR 2010",2010Q1,"SUPPLIES AND MATERIALS",1663.45,987.37
"OFFICE OF THE PARLIAMENTARIAN","FISCAL YEAR 2010",2010Q1,EQUIPMENT,1439.94,640.47
"COMPILATION OF PRECEDENTS","FISCAL YEAR 2010",2010Q1,"PERSONNEL COMPENSATION",151499.97,79249.98
"TECHNICAL ASSISTANTS","FISCAL YEAR 2010",2010Q1,"PERSONNEL COMPENSATION",166769.27,84776.76
"FORMER SPEAKER HASTERT","FISCAL YEAR 2010",2010Q1,"PERSONNEL COMPENSATION",177958.02,88979.01
"FORMER SPEAKER HASTERT","FISCAL YEAR 2010",2010Q1,TRAVEL,3217.77,1393.42
"FORMER SPEAKER HASTERT","FISCAL YEAR 2010",2010Q1,"RENT, COMMUNICATION, UTILITIES",40882.01,21198.44
"FORMER SPEAKER HASTERT","FISCAL YEAR 2010",2010Q1,"OTHER SERVICES",10000,10000
"FORMER SPEAKER HASTERT","FISCAL YEAR 2010",2010Q1,"SUPPLIES AND MATERIALS",285.95,49.98
"OFFICE OF INSPECTOR GENERAL","FISCAL YEAR 2010",2010Q1,"PERSONNEL COMPENSATION",1349532.23,666573.83
"OFFICE OF INSPECTOR GENERAL","FISCAL YEAR 2010",2010Q1,TRAVEL,3784.92,2449.38
"OFFICE OF INSPECTOR GENERAL","FISCAL YEAR 2010",2010Q1,"RENT, COMMUNICATION, UTILITIES",9452.4,5855.78
"OFFICE OF INSPECTOR GENERAL","FISCAL YEAR 2010",2010Q1,"PRINTING AND REPRODUCTION",44.95,44.95
"OFFICE OF INSPECTOR GENERAL","FISCAL YEAR 2010",2010Q1,"OTHER SERVICES",52747.38,48300.03
"OFFICE OF INSPECTOR GENERAL","FISCAL YEAR 2010",2010Q1,"SUPPLIES AND MATERIALS",16104.18,11715.83
"OFFICE OF INSPECTOR GENERAL","FISCAL YEAR 2010",2010Q1,EQUIPMENT,3394.36,1734
"OFFICE OF THE HISTORIAN","FISCAL YEAR 2010",2010Q1,"PERSONNEL COMPENSATION",202109.72,104419.73
"OFFICE OF THE HISTORIAN","FISCAL YEAR 2010",2010Q1,TRAVEL,6664.88,3144.25
"OFFICE OF THE HISTORIAN","FISCAL YEAR 2010",2010Q1,"RENT, COMMUNICATION, UTILITIES",4767.75,3404.53
"OFFICE OF THE HISTORIAN","FISCAL YEAR 2010",2010Q1,"PRINTING AND REPRODUCTION",250.14,164.24
"OFFICE OF THE HISTORIAN","FISCAL YEAR 2010",2010Q1,"OTHER SERVICES",13339.8,8429.85
"OFFICE OF THE HISTORIAN","FISCAL YEAR 2010",2010Q1,"SUPPLIES AND MATERIALS",5395.46,3809.06
"OFFICE OF THE HISTORIAN","FISCAL YEAR 2010",2010Q1,EQUIPMENT,2788.04,2542.34
"LAW REVISION COUNSEL","FISCAL YEAR 2010",2010Q1,"PERSONNEL COMPENSATION",1137627.59,586812.75
"LAW REVISION COUNSEL","FISCAL YEAR 2010",2010Q1,"RENT, COMMUNICATION, UTILITIES",3587.71,2011.45
"LAW REVISION COUNSEL","FISCAL YEAR 2010",2010Q1,"PRINTING AND REPRODUCTION",31.9,31.9
"LAW REVISION COUNSEL","FISCAL YEAR 2010",2010Q1,"OTHER SERVICES",43137.58,25543.4
"LAW REVISION COUNSEL","FISCAL YEAR 2010",2010Q1,"SUPPLIES AND MATERIALS",25084.11,14278.59
"LAW REVISION COUNSEL","FISCAL YEAR 2010",2010Q1,EQUIPMENT,37171.7,13537.27
"LEGISLATIVE COUNSEL","FISCAL YEAR 2010",2010Q1,"PERSONNEL COMPENSATION",3592774.24,1831448.76
"LEGISLATIVE COUNSEL","FISCAL YEAR 2010",2010Q1,"RENT, COMMUNICATION, UTILITIES",19403.52,11672.34
"LEGISLATIVE COUNSEL","FISCAL YEAR 2010",2010Q1,"PRINTING AND REPRODUCTION",25,0
"LEGISLATIVE COUNSEL","FISCAL YEAR 2010",2010Q1,"OTHER SERVICES",156467.01,92091.47
"LEGISLATIVE COUNSEL","FISCAL YEAR 2010",2010Q1,"SUPPLIES AND MATERIALS",27073.54,14945.92
"LEGISLATIVE COUNSEL","FISCAL YEAR 2010",2010Q1,EQUIPMENT,64401.86,63908.12
"INTERPARLIAMENTARY AFFAIRS","FISCAL YEAR 2010",2010Q1,"PERSONNEL COMPENSATION",233471.49,117249.75
"INTERPARLIAMENTARY AFFAIRS","FISCAL YEAR 2010",2010Q1,"RENT, COMMUNICATION, UTILITIES",5235.3,4111.65
"INTERPARLIAMENTARY AFFAIRS","FISCAL YEAR 2010",2010Q1,"PRINTING AND REPRODUCTION",2080,911.5
"INTERPARLIAMENTARY AFFAIRS","FISCAL YEAR 2010",2010Q1,"SUPPLIES AND MATERIALS",88270.21,53374.43
