"OFFICE","YEAR","QUARTER","CATEGORY","YTD","AMOUNT"
"CHIEF ADMIN OFCR OF THE HOUSE","FISCAL YEAR 2011","2011Q2","EQUIPMENT","150,806.15","149,988.15"
"CHIEF ADMIN OFCR OF THE HOUSE","FISCAL YEAR 2011","2011Q2","PERSONNEL COMPENSATION","46,109,216.21","15,426,482.64"
"CHIEF ADMIN OFCR OF THE HOUSE","FISCAL YEAR 2011","2011Q2","SUPPLIES AND MATERIALS","160.65","0.00"
"CHIEF ADMIN OFCR OF THE HOUSE","FISCAL YEAR 2011","2011Q2","OTHER SERVICES","262,536.95","138,761.85"
"CHIEF ADMIN OFCR OF THE HOUSE","FISCAL YEAR 2011","2011Q2","SUPPLIES AND MATERIALS","1,739.00","0.00"
"CHIEF ADMIN OFCR OF THE HOUSE","FISCAL YEAR 2011","2011Q2","EQUIPMENT","975,795.17","543,893.25"
"CHIEF ADMIN OFCR OF THE HOUSE","FISCAL YEAR 2011","2011Q2","RENT, COMMUNICATION, UTILITIES","30,029.53","11,659.86"
"CHIEF ADMIN OFCR OF THE HOUSE","FISCAL YEAR 2011","2011Q2","OTHER SERVICES","4,921.77","1,651.26"
"CHIEF ADMIN OFCR OF THE HOUSE","FISCAL YEAR 2011","2011Q2","SUPPLIES AND MATERIALS","10,316.37","3,706.68"
"CHIEF ADMIN OFCR OF THE HOUSE","FISCAL YEAR 2011","2011Q2","EQUIPMENT","8,264.77","4,667.59"
"CHIEF ADMIN OFCR OF THE HOUSE","FISCAL YEAR 2011","2011Q2","SUPPLIES AND MATERIALS","446.62","268.12"
"CHIEF ADMIN OFCR OF THE HOUSE","FISCAL YEAR 2011","2011Q2","TRAVEL","5,647.84","1,607.25"
"CHIEF ADMIN OFCR OF THE HOUSE","FISCAL YEAR 2011","2011Q2","RENT, COMMUNICATION, UTILITIES","882.81","0.00"
"CHIEF ADMIN OFCR OF THE HOUSE","FISCAL YEAR 2011","2011Q2","OTHER SERVICES","215,160.35","55,531.29"
"CHIEF ADMIN OFCR OF THE HOUSE","FISCAL YEAR 2011","2011Q2","SUPPLIES AND MATERIALS","1,974.13","0.00"
"CHIEF ADMIN OFCR OF THE HOUSE","FISCAL YEAR 2011","2011Q2","PRINTING AND REPRODUCTION","148.00","0.00"
"CHIEF ADMIN OFCR OF THE HOUSE","FISCAL YEAR 2011","2011Q2","OTHER SERVICES","453,538.61","320,914.26"
"CHIEF ADMIN OFCR OF THE HOUSE","FISCAL YEAR 2011","2011Q2","SUPPLIES AND MATERIALS","412,654.72","146,359.63"
"CHIEF ADMIN OFCR OF THE HOUSE","FISCAL YEAR 2011","2011Q2","EQUIPMENT","43,165.15","43,165.15"
"CHIEF ADMIN OFCR OF THE HOUSE","FISCAL YEAR 2011","2011Q2","TRAVEL","168,170.76","105,396.42"
"CHIEF ADMIN OFCR OF THE HOUSE","FISCAL YEAR 2011","2011Q2","TRANSPORTATION OF THINGS","39,600.00","39,600.00"
"CHIEF ADMIN OFCR OF THE HOUSE","FISCAL YEAR 2011","2011Q2","RENT, COMMUNICATION, UTILITIES","2,075,196.99","577,367.43"
"CHIEF ADMIN OFCR OF THE HOUSE","FISCAL YEAR 2011","2011Q2","PRINTING AND REPRODUCTION","8,166.04","1,516.99"
"CHIEF ADMIN OFCR OF THE HOUSE","FISCAL YEAR 2011","2011Q2","OTHER SERVICES","1,421,485.14","808,465.28"
"CHIEF ADMIN OFCR OF THE HOUSE","FISCAL YEAR 2011","2011Q2","SUPPLIES AND MATERIALS","573,588.68","239,377.48"
"CHIEF ADMIN OFCR OF THE HOUSE","FISCAL YEAR 2011","2011Q2","EQUIPMENT","911,172.43","170,009.47"
"CHIEF ADMIN OFCR OF THE HOUSE","FISCAL YEAR 2011","2011Q2","OTHER SERVICES","451,204.62","451,204.62"
"CHIEF ADMIN OFCR OF THE HOUSE","FISCAL YEAR 2011","2011Q2","RENT, COMMUNICATION, UTILITIES","31.56","31.56"
"CHIEF ADMIN OFCR OF THE HOUSE","FISCAL YEAR 2011","2011Q2","OTHER SERVICES","205,461.98","138,349.84"
"CHIEF ADMIN OFCR OF THE HOUSE","FISCAL YEAR 2011","2011Q2","SUPPLIES AND MATERIALS","3,184.97","2,156.96"
"CHIEF ADMIN OFCR OF THE HOUSE","FISCAL YEAR 2011","2011Q2","EQUIPMENT","20,854.46","9,468.40"
"CHIEF ADMIN OFCR OF THE HOUSE","FISCAL YEAR 2011","2011Q2","OTHER SERVICES","2,213.00","0.00"
"CHIEF ADMIN OFCR OF THE HOUSE","FISCAL YEAR 2011","2011Q2","SUPPLIES AND MATERIALS","235.33","0.00"
"CHIEF ADMIN OFCR OF THE HOUSE","FISCAL YEAR 2011","2011Q2","EQUIPMENT","1,970.84","0.00"
"CHIEF ADMIN OFCR OF THE HOUSE","FISCAL YEAR 2011","2011Q2","EQUIPMENT","5,000.00","5,000.00"
"CHIEF ADMIN OFCR OF THE HOUSE","FISCAL YEAR 2011","2011Q2","OTHER SERVICES","2,980.00","745.00"
"CHIEF ADMIN OFCR OF THE HOUSE","FISCAL YEAR 2011","2011Q2","TRAVEL","157.36","42.84"
"CHIEF ADMIN OFCR OF THE HOUSE","FISCAL YEAR 2011","2011Q2","RENT, COMMUNICATION, UTILITIES","47,130.12","20,474.89"
"CHIEF ADMIN OFCR OF THE HOUSE","FISCAL YEAR 2011","2011Q2","OTHER SERVICES","906,250.00","1,728.00"
"CHIEF ADMIN OFCR OF THE HOUSE","FISCAL YEAR 2011","2011Q2","SUPPLIES AND MATERIALS","386.55","0.00"
"CHIEF ADMIN OFCR OF THE HOUSE","FISCAL YEAR 2011","2011Q2","EQUIPMENT","1,037,911.53","389,140.50"
"CHIEF ADMIN OFCR OF THE HOUSE","FISCAL YEAR 2011","2011Q2","OTHER SERVICES","568,111.52","293,564.45"
"CHIEF ADMIN OFCR OF THE HOUSE","FISCAL YEAR 2011","2011Q2","SUPPLIES AND MATERIALS","3,205.94","0.00"
"CHIEF ADMIN OFCR OF THE HOUSE","FISCAL YEAR 2011","2011Q2","EQUIPMENT","1,628,145.26","422,914.80"
"CHIEF ADMIN OFCR OF THE HOUSE","FISCAL YEAR 2011","2011Q2","RENT, COMMUNICATION, UTILITIES","2,359,801.65","1,370,402.48"
"CHIEF ADMIN OFCR OF THE HOUSE","FISCAL YEAR 2011","2011Q2","OTHER SERVICES","73,267.00","43,867.00"
"CHIEF ADMIN OFCR OF THE HOUSE","FISCAL YEAR 2011","2011Q2","SUPPLIES AND MATERIALS","2,994.87","399.14"
"CHIEF ADMIN OFCR OF THE HOUSE","FISCAL YEAR 2011","2011Q2","EQUIPMENT","335,794.79","23,984.40"
"CHIEF ADMIN OFCR OF THE HOUSE","FISCAL YEAR 2011","2011Q2","OTHER SERVICES","124,417.01","89,182.01"
"CHIEF ADMIN OFCR OF THE HOUSE","FISCAL YEAR 2011","2011Q2","SUPPLIES AND MATERIALS","124,442.28","48,424.12"
"CHIEF ADMIN OFCR OF THE HOUSE","FISCAL YEAR 2011","2011Q2","EQUIPMENT","311,388.34","0.00"
"CHIEF ADMIN OFCR OF THE HOUSE","FISCAL YEAR 2011","2011Q2","RENT, COMMUNICATION, UTILITIES","1,163.75","0.00"
"CHIEF ADMIN OFCR OF THE HOUSE","FISCAL YEAR 2011","2011Q2","OTHER SERVICES","159,317.44","96,421.50"
"CHIEF ADMIN OFCR OF THE HOUSE","FISCAL YEAR 2011","2011Q2","SUPPLIES AND MATERIALS","28,013.75","20,152.49"
"CHIEF ADMIN OFCR OF THE HOUSE","FISCAL YEAR 2011","2011Q2","EQUIPMENT","839,533.81","340,467.01"
"CHIEF ADMIN OFCR OF THE HOUSE","FISCAL YEAR 2011","2011Q2","RENT, COMMUNICATION, UTILITIES","78.35","0.00"
"CHIEF ADMIN OFCR OF THE HOUSE","FISCAL YEAR 2011","2011Q2","OTHER SERVICES","15,148.80","15,148.80"
"CHIEF ADMIN OFCR OF THE HOUSE","FISCAL YEAR 2011","2011Q2","EQUIPMENT","23,799.71","22,738.57"
"CHIEF ADMIN OFCR OF THE HOUSE","FISCAL YEAR 2011","2011Q2","OTHER SERVICES","33,161.82","33,161.82"
"CHIEF ADMIN OFCR OF THE HOUSE","FISCAL YEAR 2011","2011Q2","EQUIPMENT","110,476.63","45,634.70"
"CHIEF ADMIN OFCR OF THE HOUSE","FISCAL YEAR 2011","2011Q2","EQUIPMENT","16,817.50","0.00"
"CHIEF ADMIN OFCR OF THE HOUSE","FISCAL YEAR 2011","2011Q2","SUPPLIES AND MATERIALS","5,099.00","0.00"
"CHIEF ADMIN OFCR OF THE HOUSE","FISCAL YEAR 2011","2011Q2","EQUIPMENT","22,692.46","0.00"
"CHIEF ADMIN OFCR OF THE HOUSE","FISCAL YEAR 2011","2011Q2","OTHER SERVICES","977,896.00","372,843.84"
"CHIEF ADMIN OFCR OF THE HOUSE","FISCAL YEAR 2011","2011Q2","TRAVEL","8,092.14","5,370.41"
"CHIEF ADMIN OFCR OF THE HOUSE","FISCAL YEAR 2011","2011Q2","OTHER SERVICES","8,265.00","375.00"
"CHIEF ADMIN OFCR OF THE HOUSE","FISCAL YEAR 2011","2011Q2","SUPPLIES AND MATERIALS","191.78","0.00"
"CHIEF ADMIN OFCR OF THE HOUSE","FISCAL YEAR 2011","2011Q2","EQUIPMENT","396,246.57","72,598.61"
"CHIEF ADMIN OFCR OF THE HOUSE","FISCAL YEAR 2011","2011Q2","OTHER SERVICES","100,000.00","20,713.09"
"CHIEF ADMIN OFCR OF THE HOUSE","FISCAL YEAR 2011","2011Q2","SUPPLIES AND MATERIALS","1,954.95","1,455.00"
"CHIEF ADMIN OFCR OF THE HOUSE","FISCAL YEAR 2011","2011Q2","EQUIPMENT","299,065.69","84,794.14"
"CHIEF ADMIN OFCR OF THE HOUSE","FISCAL YEAR 2011","2011Q2","OTHER SERVICES","68,239.32","44,020.02"
"CHIEF ADMIN OFCR OF THE HOUSE","FISCAL YEAR 2011","2011Q2","SUPPLIES AND MATERIALS","1,821.64","1,821.64"
"CHIEF ADMIN OFCR OF THE HOUSE","FISCAL YEAR 2011","2011Q2","EQUIPMENT","233,864.35","205,822.29"
"CLERK OF THE HOUSE","FISCAL YEAR 2011","2011Q2","PERSONNEL COMPENSATION","15,323,615.12","5,035,162.04"
"CLERK OF THE HOUSE","FISCAL YEAR 2011","2011Q2","TRAVEL","37,101.42","19,968.63"
"CLERK OF THE HOUSE","FISCAL YEAR 2011","2011Q2","TRANSPORTATION OF THINGS","643.51","643.51"
"CLERK OF THE HOUSE","FISCAL YEAR 2011","2011Q2","RENT, COMMUNICATION, UTILITIES","131,031.50","50,674.99"
"CLERK OF THE HOUSE","FISCAL YEAR 2011","2011Q2","PRINTING AND REPRODUCTION","22,575.70","5,103.40"
"CLERK OF THE HOUSE","FISCAL YEAR 2011","2011Q2","OTHER SERVICES","1,205,058.36","586,083.02"
"CLERK OF THE HOUSE","FISCAL YEAR 2011","2011Q2","SUPPLIES AND MATERIALS","269,476.35","75,459.38"
"CLERK OF THE HOUSE","FISCAL YEAR 2011","2011Q2","EQUIPMENT","285,008.38","52,814.73"
"CLERK OF THE HOUSE","FISCAL YEAR 2011","2011Q2","SUPPLIES AND MATERIALS","894.50","0.00"
"CLERK OF THE HOUSE","FISCAL YEAR 2011","2011Q2","SUPPLIES AND MATERIALS","19,577.41","0.00"
"OFFICE OF GENERAL COUNSEL","FISCAL YEAR 2011","2011Q2","PERSONNEL COMPENSATION","775,884.47","273,217.66"
"OFFICE OF GENERAL COUNSEL","FISCAL YEAR 2011","2011Q2","TRAVEL","3,132.52","1,945.09"
"OFFICE OF GENERAL COUNSEL","FISCAL YEAR 2011","2011Q2","RENT, COMMUNICATION, UTILITIES","5,780.21","2,089.44"
"OFFICE OF GENERAL COUNSEL","FISCAL YEAR 2011","2011Q2","PRINTING AND REPRODUCTION","429.35","61.90"
"OFFICE OF GENERAL COUNSEL","FISCAL YEAR 2011","2011Q2","OTHER SERVICES","1,894.99","1,894.99"
"OFFICE OF GENERAL COUNSEL","FISCAL YEAR 2011","2011Q2","SUPPLIES AND MATERIALS","24,794.93","13,112.88"
"OFFICE OF GENERAL COUNSEL","FISCAL YEAR 2011","2011Q2","EQUIPMENT","12,173.86","5,917.33"
"SERGEANT AT ARMS","FISCAL YEAR 2011","2011Q2","PERSONNEL COMPENSATION","6,297,043.74","2,469,100.55"
"SERGEANT AT ARMS","FISCAL YEAR 2011","2011Q2","TRAVEL","14,942.68","6,127.58"
"SERGEANT AT ARMS","FISCAL YEAR 2011","2011Q2","RENT, COMMUNICATION, UTILITIES","84,290.83","31,661.26"
"SERGEANT AT ARMS","FISCAL YEAR 2011","2011Q2","PRINTING AND REPRODUCTION","390.60","213.70"
"SERGEANT AT ARMS","FISCAL YEAR 2011","2011Q2","OTHER SERVICES","207,481.08","171,308.53"
"SERGEANT AT ARMS","FISCAL YEAR 2011","2011Q2","SUPPLIES AND MATERIALS","40,159.62","17,118.77"
"SERGEANT AT ARMS","FISCAL YEAR 2011","2011Q2","EQUIPMENT","41,310.21","10,680.74"
"SERGEANT AT ARMS","FISCAL YEAR 2011","2011Q2","OTHER SERVICES","369.93","265.80"
"SERGEANT AT ARMS","FISCAL YEAR 2011","2011Q2","SUPPLIES AND MATERIALS","220.00","220.00"
"OFFICE OF THE CHAPLAIN","FISCAL YEAR 2011","2011Q2","PERSONNEL COMPENSATION","117,875.00","31,625.00"
"OFFICE OF THE CHAPLAIN","FISCAL YEAR 2011","2011Q2","PRINTING AND REPRODUCTION","21.50","0.00"
"OFFICE OF THE PARLIAMENTARIAN","FISCAL YEAR 2011","2011Q2","PERSONNEL COMPENSATION","870,624.96","259,374.99"
"OFFICE OF THE PARLIAMENTARIAN","FISCAL YEAR 2011","2011Q2","RENT, COMMUNICATION, UTILITIES","16,878.35","6,072.08"
"OFFICE OF THE PARLIAMENTARIAN","FISCAL YEAR 2011","2011Q2","OTHER SERVICES","12,500.00","6,250.00"
"OFFICE OF THE PARLIAMENTARIAN","FISCAL YEAR 2011","2011Q2","SUPPLIES AND MATERIALS","3,569.23","1,808.00"
"OFFICE OF THE PARLIAMENTARIAN","FISCAL YEAR 2011","2011Q2","EQUIPMENT","10,509.91","640.47"
"COMPILATION OF PRECEDENTS","FISCAL YEAR 2011","2011Q2","PERSONNEL COMPENSATION","294,750.00","131,750.01"
"TECHNICAL ASSISTANTS","FISCAL YEAR 2011","2011Q2","PERSONNEL COMPENSATION","325,580.31","108,526.77"
"OFFICE OF THE FORMER SPEAKER","FISCAL YEAR 2011","2011Q2","PERSONNEL COMPENSATION","191,187.00","63,729.00"
"OFFICE OF THE FORMER SPEAKER","FISCAL YEAR 2011","2011Q2","TRAVEL","26.00","0.00"
"OFFICE OF THE FORMER SPEAKER","FISCAL YEAR 2011","2011Q2","RENT, COMMUNICATION, UTILITIES","29,675.30","2,519.61"
"OFFICE OF THE FORMER SPEAKER","FISCAL YEAR 2011","2011Q2","PRINTING AND REPRODUCTION","344.45","0.00"
"OFFICE OF THE FORMER SPEAKER","FISCAL YEAR 2011","2011Q2","OTHER SERVICES","8,593.75","593.75"
"OFFICE OF THE FORMER SPEAKER","FISCAL YEAR 2011","2011Q2","SUPPLIES AND MATERIALS","266.48","0.00"
"OFFICE OF INSPECTOR GENERAL","FISCAL YEAR 2011","2011Q2","PERSONNEL COMPENSATION","2,138,040.26","729,453.01"
"OFFICE OF INSPECTOR GENERAL","FISCAL YEAR 2011","2011Q2","TRAVEL","34,246.14","33,130.38"
"OFFICE OF INSPECTOR GENERAL","FISCAL YEAR 2011","2011Q2","RENT, COMMUNICATION, UTILITIES","22,494.01","8,450.64"
"OFFICE OF INSPECTOR GENERAL","FISCAL YEAR 2011","2011Q2","PRINTING AND REPRODUCTION","596.06","220.96"
"OFFICE OF INSPECTOR GENERAL","FISCAL YEAR 2011","2011Q2","OTHER SERVICES","404,606.50","284,041.22"
"OFFICE OF INSPECTOR GENERAL","FISCAL YEAR 2011","2011Q2","SUPPLIES AND MATERIALS","16,947.76","3,851.52"
"OFFICE OF INSPECTOR GENERAL","FISCAL YEAR 2011","2011Q2","EQUIPMENT","45,032.60","36,556.66"
"OFFICE OF THE HISTORIAN","FISCAL YEAR 2011","2011Q2","PERSONNEL COMPENSATION","249,887.23","66,378.35"
"OFFICE OF THE HISTORIAN","FISCAL YEAR 2011","2011Q2","TRAVEL","6,109.53","1,267.84"
"OFFICE OF THE HISTORIAN","FISCAL YEAR 2011","2011Q2","RENT, COMMUNICATION, UTILITIES","9,837.26","6,133.43"
"OFFICE OF THE HISTORIAN","FISCAL YEAR 2011","2011Q2","PRINTING AND REPRODUCTION","520.80","101.90"
"OFFICE OF THE HISTORIAN","FISCAL YEAR 2011","2011Q2","OTHER SERVICES","30,453.90","10,630.00"
"OFFICE OF THE HISTORIAN","FISCAL YEAR 2011","2011Q2","SUPPLIES AND MATERIALS","4,853.88","1,528.34"
"OFFICE OF THE HISTORIAN","FISCAL YEAR 2011","2011Q2","EQUIPMENT","4,679.71","245.70"
"LAW REVISION COUNSEL","FISCAL YEAR 2011","2011Q2","FRANKED MAIL","141.21","141.21"
"LAW REVISION COUNSEL","FISCAL YEAR 2011","2011Q2","PERSONNEL COMPENSATION","1,703,100.72","560,658.24"
"LAW REVISION COUNSEL","FISCAL YEAR 2011","2011Q2","RENT, COMMUNICATION, UTILITIES","5,898.46","2,304.02"
"LAW REVISION COUNSEL","FISCAL YEAR 2011","2011Q2","OTHER SERVICES","64,603.00","60,476.00"
"LAW REVISION COUNSEL","FISCAL YEAR 2011","2011Q2","SUPPLIES AND MATERIALS","29,500.67","14,221.75"
"LAW REVISION COUNSEL","FISCAL YEAR 2011","2011Q2","EQUIPMENT","12,978.47","11,235.25"
"LEGISLATIVE COUNSEL","FISCAL YEAR 2011","2011Q2","FRANKED MAIL","0.82","0.82"
"LEGISLATIVE COUNSEL","FISCAL YEAR 2011","2011Q2","PERSONNEL COMPENSATION","5,526,226.18","1,826,907.46"
"LEGISLATIVE COUNSEL","FISCAL YEAR 2011","2011Q2","RENT, COMMUNICATION, UTILITIES","30,950.90","11,627.43"
