"OFFICE","YEAR","QUARTER","CATEGORY","YTD","AMOUNT"
"OFFICE OF THE MINORITY LEADER","FISCAL YEAR 2010","2010Q2","TRAVEL","436.00","142.00"
"OFFICE OF THE MINORITY LEADER","FISCAL YEAR 2010","2010Q2","RENT, COMMUNICATION, UTILITIES","825.82","363.65"
"OFFICE OF THE MINORITY LEADER","FISCAL YEAR 2010","2010Q2","PRINTING AND REPRODUCTION","245.45","78.80"
"OFFICE OF THE MINORITY LEADER","FISCAL YEAR 2010","2010Q2","OTHER SERVICES","495.00","495.00"
"OFFICE OF THE MINORITY LEADER","FISCAL YEAR 2010","2010Q2","SUPPLIES AND MATERIALS","91,144.11","45,298.16"
"OFFICE OF THE MINORITY LEADER","FISCAL YEAR 2010","2010Q2","PERSONNEL BENEFITS","7,499.97","2,499.99"
"OFFICE OF THE MAJORITY WHIP","FISCAL YEAR 2010","2010Q2","PERSONNEL COMPENSATION","124,224.66","41,250.00"
"OFFICE OF THE MAJORITY WHIP","FISCAL YEAR 2010","2010Q2","PERSONNEL COMPENSATION","1,050,874.38","340,943.06"
"OFFICE OF THE MAJORITY WHIP","FISCAL YEAR 2010","2010Q2","TRAVEL","2,105.80","1,622.80"
"OFFICE OF THE MAJORITY WHIP","FISCAL YEAR 2010","2010Q2","RENT, COMMUNICATION, UTILITIES","556.05","164.33"
"OFFICE OF THE MAJORITY WHIP","FISCAL YEAR 2010","2010Q2","PRINTING AND REPRODUCTION","731.30","416.50"
"OFFICE OF THE MAJORITY WHIP","FISCAL YEAR 2010","2010Q2","OTHER SERVICES","4,844.81","2,271.49"
"OFFICE OF THE MAJORITY WHIP","FISCAL YEAR 2010","2010Q2","SUPPLIES AND MATERIALS","73,641.01","25,459.26"
"OFFICE OF THE MINORITY WHIP","FISCAL YEAR 2010","2010Q2","PERSONNEL COMPENSATION","266,907.05","85,799.01"
"OFFICE OF THE MINORITY WHIP","FISCAL YEAR 2010","2010Q2","PERSONNEL COMPENSATION","815,925.28","256,854.33"
"OFFICE OF THE MINORITY WHIP","FISCAL YEAR 2010","2010Q2","TRAVEL","10,048.29","6,237.40"
"OFFICE OF THE MINORITY WHIP","FISCAL YEAR 2010","2010Q2","RENT, COMMUNICATION, UTILITIES","583.26","562.21"
"OFFICE OF THE MINORITY WHIP","FISCAL YEAR 2010","2010Q2","PRINTING AND REPRODUCTION","2,537.44","323.40"
"OFFICE OF THE MINORITY WHIP","FISCAL YEAR 2010","2010Q2","OTHER SERVICES","990.00","990.00"
"OFFICE OF THE MINORITY WHIP","FISCAL YEAR 2010","2010Q2","SUPPLIES AND MATERIALS","163,835.61","79,193.05"
"DEMOCRATIC STEERING AND POLICY","FISCAL YEAR 2010","2010Q2","PERSONNEL COMPENSATION","244,375.00","71,875.00"
"DEMOCRATIC STEERING AND POLICY","FISCAL YEAR 2010","2010Q2","PERSONNEL COMPENSATION","666,437.34","218,171.55"
"DEMOCRATIC CAUCUS","FISCAL YEAR 2010","2010Q2","PERSONNEL COMPENSATION","227,875.02","74,375.01"
"DEMOCRATIC CAUCUS","FISCAL YEAR 2010","2010Q2","PERSONNEL COMPENSATION","1,098,263.65","353,936.09"
"DEMOCRATIC CAUCUS","FISCAL YEAR 2010","2010Q2","TRAVEL","5,114.53","147.75"
"DEMOCRATIC CAUCUS","FISCAL YEAR 2010","2010Q2","RENT, COMMUNICATION, UTILITIES","12,620.00","60.00"
"DEMOCRATIC CAUCUS","FISCAL YEAR 2010","2010Q2","PRINTING AND REPRODUCTION","1,977.60","108.40"
"DEMOCRATIC CAUCUS","FISCAL YEAR 2010","2010Q2","OTHER SERVICES","9,159.95","759.73"
"DEMOCRATIC CAUCUS","FISCAL YEAR 2010","2010Q2","SUPPLIES AND MATERIALS","102,444.34","24,414.14"
"REPUBLICAN CONFERENCE","FISCAL YEAR 2010","2010Q2","PERSONNEL COMPENSATION","235,422.90","81,217.41"
"REPUBLICAN CONFERENCE","FISCAL YEAR 2010","2010Q2","PERSONNEL COMPENSATION","798,067.93","268,600.64"
"REPUBLICAN CONFERENCE","FISCAL YEAR 2010","2010Q2","TRAVEL","2,158.65","1,180.03"
"REPUBLICAN CONFERENCE","FISCAL YEAR 2010","2010Q2","RENT, COMMUNICATION, UTILITIES","7,636.29","26.40"
"REPUBLICAN CONFERENCE","FISCAL YEAR 2010","2010Q2","OTHER SERVICES","3,826.38","609.99"
"REPUBLICAN CONFERENCE","FISCAL YEAR 2010","2010Q2","SUPPLIES AND MATERIALS","55,723.24","24,996.87"
"REPUBLICAN POLICY COMMITTEE","FISCAL YEAR 2010","2010Q2","PERSONNEL COMPENSATION","205,122.30","29,413.89"
"REPUBLICAN POLICY COMMITTEE","FISCAL YEAR 2010","2010Q2","TRAVEL","105.42","45.38"
"REPUBLICAN POLICY COMMITTEE","FISCAL YEAR 2010","2010Q2","RENT, COMMUNICATION, UTILITIES","225.14","59.99"
"REPUBLICAN POLICY COMMITTEE","FISCAL YEAR 2010","2010Q2","PRINTING AND REPRODUCTION","13,213.30","13,175.00"
"REPUBLICAN POLICY COMMITTEE","FISCAL YEAR 2010","2010Q2","OTHER SERVICES","35,300.00","15,000.00"
"REPUBLICAN POLICY COMMITTEE","FISCAL YEAR 2010","2010Q2","SUPPLIES AND MATERIALS","4,769.21","3,235.24"
"REPUBLICAN STEERING COMMITTEE","FISCAL YEAR 2010","2010Q2","PERSONNEL COMPENSATION","498,309.14","159,189.16"
"REPUBLICAN STEERING COMMITTEE","FISCAL YEAR 2010","2010Q2","PERSONNEL COMPENSATION","15,000.00","0.00"
"MINORITY EMPLOYEES","FISCAL YEAR 2010","2010Q2","PERSONNEL COMPENSATION","762,919.15","266,948.61"
"LEGISLATIVE FLOOR ACTIVITIES","FISCAL YEAR 2010","2010Q2","PERSONNEL COMPENSATION","388,125.00","129,375.00"
"RC-TRAINING & PROGRAM DEVEL.","FISCAL YEAR 2010","2010Q2","PERSONNEL COMPENSATION","162,756.32","39,812.87"
"DS-TRAINING & PROGRAM DEVEL.","FISCAL YEAR 2010","2010Q2","PERSONNEL COMPENSATION","209,602.53","70,173.00"
"CLOAKROOM PERSONNEL - MAJ","FISCAL YEAR 2010","2010Q2","PERSONNEL COMPENSATION","357,919.44","117,038.43"
"CLOAKROOM PERSONNEL - MIN","FISCAL YEAR 2010","2010Q2","PERSONNEL COMPENSATION","282,291.63","95,129.16"
"CHIEF ADMINISTRATIVE OFFICER","FISCAL YEAR 2010","2010Q2","TRAVEL","8,107.73","8,107.73"
"CHIEF ADMINISTRATIVE OFFICER","FISCAL YEAR 2010","2010Q2","RENT, COMMUNICATION, UTILITIES","21,659.86","21,659.86"
"CHIEF ADMINISTRATIVE OFFICER","FISCAL YEAR 2010","2010Q2","PRINTING AND REPRODUCTION","7,280.61","4,226.72"
"CHIEF ADMINISTRATIVE OFFICER","FISCAL YEAR 2010","2010Q2","OTHER SERVICES","50,846.58","50,846.58"
"CHIEF ADMINISTRATIVE OFFICER","FISCAL YEAR 2010","2010Q2","SUPPLIES AND MATERIALS","20,367.38","20,367.38"
"CHIEF ADMINISTRATIVE OFFICER","FISCAL YEAR 2010","2010Q2","EQUIPMENT","236,805.50","17,845.19"
"CHIEF ADMINISTRATIVE OFFICER","FISCAL YEAR 2010","2010Q2","TRAVEL","8,971.29","7,533.64"
"CHIEF ADMINISTRATIVE OFFICER","FISCAL YEAR 2010","2010Q2","RENT, COMMUNICATION, UTILITIES","4,091.56","4,091.56"
"CHIEF ADMINISTRATIVE OFFICER","FISCAL YEAR 2010","2010Q2","PRINTING AND REPRODUCTION","4,867.72","4,867.72"
"CHIEF ADMINISTRATIVE OFFICER","FISCAL YEAR 2010","2010Q2","OTHER SERVICES","272,649.20","85,892.29"
"CHIEF ADMINISTRATIVE OFFICER","FISCAL YEAR 2010","2010Q2","SUPPLIES AND MATERIALS","18,908.85","17,608.85"
"CHIEF ADMINISTRATIVE OFFICER","FISCAL YEAR 2010","2010Q2","OTHER SERVICES","1,711,923.09","864,298.48"
"CHIEF ADMINISTRATIVE OFFICER","FISCAL YEAR 2010","2010Q2","EQUIPMENT","79,195.05","26,398.35"
"CHIEF ADMINISTRATIVE OFFICER","FISCAL YEAR 2010","2010Q2","OTHER SERVICES","3,474,577.85","2,743,306.89"
"CHIEF ADMINISTRATIVE OFFICER","FISCAL YEAR 2010","2010Q2","EQUIPMENT","255,479.49","85,159.83"
"CHIEF ADMINISTRATIVE OFFICER","FISCAL YEAR 2010","2010Q2","RENT, COMMUNICATION, UTILITIES","29,789.72","13,077.36"
"CHIEF ADMINISTRATIVE OFFICER","FISCAL YEAR 2010","2010Q2","PRINTING AND REPRODUCTION","8.38","0.00"
"CHIEF ADMINISTRATIVE OFFICER","FISCAL YEAR 2010","2010Q2","OTHER SERVICES","3,238.50","1,619.25"
"CHIEF ADMINISTRATIVE OFFICER","FISCAL YEAR 2010","2010Q2","SUPPLIES AND MATERIALS","15,048.30","7,016.66"
"CHIEF ADMINISTRATIVE OFFICER","FISCAL YEAR 2010","2010Q2","EQUIPMENT","11,098.88","2,760.82"
"CHIEF ADMINISTRATIVE OFFICER","FISCAL YEAR 2010","2010Q2","SUPPLIES AND MATERIALS","513.40","0.00"
"CAO ADVANCED BUSINESS SOLUTION","FISCAL YEAR 2010","2010Q2","TRAVEL","22,746.35","2,213.90"
"CAO ADVANCED BUSINESS SOLUTION","FISCAL YEAR 2010","2010Q2","RENT, COMMUNICATION, UTILITIES","753,112.10","34,596.71"
"CAO ADVANCED BUSINESS SOLUTION","FISCAL YEAR 2010","2010Q2","OTHER SERVICES","253,702.07","26,374.36"
"CAO ADVANCED BUSINESS SOLUTION","FISCAL YEAR 2010","2010Q2","SUPPLIES AND MATERIALS","571,000.97","232,324.45"
"CAO ADVANCED BUSINESS SOLUTION","FISCAL YEAR 2010","2010Q2","EQUIPMENT","97,481.37","97,481.37"
"CAO ADVANCED BUSINESS SOLUTION","FISCAL YEAR 2010","2010Q2","TRAVEL","2,724.80","2,724.80"
"CAO ADVANCED BUSINESS SOLUTION","FISCAL YEAR 2010","2010Q2","OTHER SERVICES","95,715.00","8,885.00"
"CAO ADVANCED BUSINESS SOLUTION","FISCAL YEAR 2010","2010Q2","EQUIPMENT","298,892.08","0.00"
"CAO ADVANCED BUSINESS SOLUTION","FISCAL YEAR 2010","2010Q2","OTHER SERVICES","104,638.41","73,021.76"
"CAO ADVANCED BUSINESS SOLUTION","FISCAL YEAR 2010","2010Q2","SUPPLIES AND MATERIALS","2,238.70","807.70"
"CAO ADVANCED BUSINESS SOLUTION","FISCAL YEAR 2010","2010Q2","EQUIPMENT","177,739.77","88,049.49"
"HOUSE INFORMATION RESOURCES","FISCAL YEAR 2010","2010Q2","TRAVEL","89,905.44","57,264.74"
"HOUSE INFORMATION RESOURCES","FISCAL YEAR 2010","2010Q2","TRANSPORTATION OF THINGS","35.28","20.33"
"HOUSE INFORMATION RESOURCES","FISCAL YEAR 2010","2010Q2","RENT, COMMUNICATION, UTILITIES","353,551.65","134,418.44"
"HOUSE INFORMATION RESOURCES","FISCAL YEAR 2010","2010Q2","PRINTING AND REPRODUCTION","335.90","0.00"
"HOUSE INFORMATION RESOURCES","FISCAL YEAR 2010","2010Q2","OTHER SERVICES","488,912.43","104,129.88"
"HOUSE INFORMATION RESOURCES","FISCAL YEAR 2010","2010Q2","SUPPLIES AND MATERIALS","90,751.65","25,663.32"
"HOUSE INFORMATION RESOURCES","FISCAL YEAR 2010","2010Q2","EQUIPMENT","91,654.67","9,639.93"
"HOUSE INFORMATION RESOURCES","FISCAL YEAR 2010","2010Q2","RENT, COMMUNICATION, UTILITIES","965,891.65","292,430.84"
"HOUSE INFORMATION RESOURCES","FISCAL YEAR 2010","2010Q2","OTHER SERVICES","908,852.65","6,852.65"
"HOUSE INFORMATION RESOURCES","FISCAL YEAR 2010","2010Q2","SUPPLIES AND MATERIALS","2,308.74","1,020.00"
"HOUSE INFORMATION RESOURCES","FISCAL YEAR 2010","2010Q2","EQUIPMENT","138,936.21","137,055.24"
"HOUSE INFORMATION RESOURCES","FISCAL YEAR 2010","2010Q2","TRANSPORTATION OF THINGS","3,512.26","25.80"
"HOUSE INFORMATION RESOURCES","FISCAL YEAR 2010","2010Q2","OTHER SERVICES","691,200.57","333,775.11"
"HOUSE INFORMATION RESOURCES","FISCAL YEAR 2010","2010Q2","SUPPLIES AND MATERIALS","666,992.19","169,219.94"
"HOUSE INFORMATION RESOURCES","FISCAL YEAR 2010","2010Q2","EQUIPMENT","1,537,601.53","437,038.86"
"HOUSE INFORMATION RESOURCES","FISCAL YEAR 2010","2010Q2","TRANSPORTATION OF THINGS","20.35","0.00"
"HOUSE INFORMATION RESOURCES","FISCAL YEAR 2010","2010Q2","RENT, COMMUNICATION, UTILITIES","2,470,273.01","984,342.13"
"HOUSE INFORMATION RESOURCES","FISCAL YEAR 2010","2010Q2","OTHER SERVICES","53,674.24","48,711.24"
"HOUSE INFORMATION RESOURCES","FISCAL YEAR 2010","2010Q2","SUPPLIES AND MATERIALS","2,379.14","65.72"
"HOUSE INFORMATION RESOURCES","FISCAL YEAR 2010","2010Q2","EQUIPMENT","1,414,272.60","979,883.39"
"HOUSE INFORMATION RESOURCES","FISCAL YEAR 2010","2010Q2","RENT, COMMUNICATION, UTILITIES","2,587.00","2,587.00"
"HOUSE INFORMATION RESOURCES","FISCAL YEAR 2010","2010Q2","OTHER SERVICES","10,541.09","9,628.13"
"HOUSE INFORMATION RESOURCES","FISCAL YEAR 2010","2010Q2","SUPPLIES AND MATERIALS","23,903.67","3,520.07"
"HOUSE INFORMATION RESOURCES","FISCAL YEAR 2010","2010Q2","EQUIPMENT","1,191,493.79","517,594.69"
"HOUSE INFORMATION RESOURCES","FISCAL YEAR 2010","2010Q2","RENT, COMMUNICATION, UTILITIES","197.16","93.51"
"HOUSE INFORMATION RESOURCES","FISCAL YEAR 2010","2010Q2","OTHER SERVICES","14,280.00","14,280.00"
"HOUSE INFORMATION RESOURCES","FISCAL YEAR 2010","2010Q2","SUPPLIES AND MATERIALS","4,278.74","2,540.32"
"HOUSE INFORMATION RESOURCES","FISCAL YEAR 2010","2010Q2","EQUIPMENT","111,837.36","81,467.40"
"HOUSE INFORMATION RESOURCES","FISCAL YEAR 2010","2010Q2","OTHER SERVICES","52,007.45","44,452.26"
"HOUSE INFORMATION RESOURCES","FISCAL YEAR 2010","2010Q2","OTHER SERVICES","1,325,801.58","391,288.50"
"HOUSE INFORMATION RESOURCES","FISCAL YEAR 2010","2010Q2","SUPPLIES AND MATERIALS","3,595.64","0.00"
"HOUSE INFORMATION RESOURCES","FISCAL YEAR 2010","2010Q2","EQUIPMENT","1,143,151.63","369,972.49"
"HOUSE INFORMATION RESOURCES","FISCAL YEAR 2010","2010Q2","EQUIPMENT","1,655,040.00","0.00"
"HOUSE INFORMATION RESOURCES","FISCAL YEAR 2010","2010Q2","OTHER SERVICES","94,903.80","79,639.20"
"HOUSE INFORMATION RESOURCES","FISCAL YEAR 2010","2010Q2","SUPPLIES AND MATERIALS","23,486.30","23,009.30"
"HOUSE INFORMATION RESOURCES","FISCAL YEAR 2010","2010Q2","EQUIPMENT","339,460.78","226,094.28"
"HOUSE INFORMATION RESOURCES","FISCAL YEAR 2010","2010Q2","TRAVEL","4,506.11","4,506.11"
"HOUSE INFORMATION RESOURCES","FISCAL YEAR 2010","2010Q2","TRANSPORTATION OF THINGS","3,903.28","3,875.00"
"HOUSE INFORMATION RESOURCES","FISCAL YEAR 2010","2010Q2","OTHER SERVICES","284,797.60","166,871.00"
"HOUSE INFORMATION RESOURCES","FISCAL YEAR 2010","2010Q2","SUPPLIES AND MATERIALS","9,082.46","3,156.68"
"HOUSE INFORMATION RESOURCES","FISCAL YEAR 2010","2010Q2","EQUIPMENT","895,480.33","237,719.97"
"CAO OPERATIONS MANAGEMENT","FISCAL YEAR 2010","2010Q2","TRAVEL","34,625.53","28,485.34"
"CAO OPERATIONS MANAGEMENT","FISCAL YEAR 2010","2010Q2","RENT, COMMUNICATION, UTILITIES","160,307.03","68,087.19"
"CAO OPERATIONS MANAGEMENT","FISCAL YEAR 2010","2010Q2","PRINTING AND REPRODUCTION","207.91","0.00"
"CAO OPERATIONS MANAGEMENT","FISCAL YEAR 2010","2010Q2","OTHER SERVICES","322,122.60","133,923.24"
"CAO OPERATIONS MANAGEMENT","FISCAL YEAR 2010","2010Q2","SUPPLIES AND MATERIALS","232,251.50","73,746.65"
"CAO OPERATIONS MANAGEMENT","FISCAL YEAR 2010","2010Q2","EQUIPMENT","931,498.60","263,813.16"
"CAO OPERATIONS MANAGEMENT","FISCAL YEAR 2010","2010Q2","RENT, COMMUNICATION, UTILITIES","-72,768.00","-23,440.50"
"COMMUNICATIONS","FISCAL YEAR 2010","2010Q2","TRAVEL","24,871.42","10,986.53"
"COMMUNICATIONS","FISCAL YEAR 2010","2010Q2","TRANSPORTATION OF THINGS","32,232.16","14,753.95"
"COMMUNICATIONS","FISCAL YEAR 2010","2010Q2","RENT, COMMUNICATION, UTILITIES","64,545.25","24,101.48"
"COMMUNICATIONS","FISCAL YEAR 2010","2010Q2","PRINTING AND REPRODUCTION","99.80","43.90"
"COMMUNICATIONS","FISCAL YEAR 2010","2010Q2","OTHER SERVICES","201,814.98","110,788.56"
"COMMUNICATIONS","FISCAL YEAR 2010","2010Q2","SUPPLIES AND MATERIALS","388,084.14","168,107.69"
"COMMUNICATIONS","FISCAL YEAR 2010","2010Q2","EQUIPMENT","142,306.53","96,153.36"
"COMMUNICATIONS","FISCAL YEAR 2010","2010Q2","RENT, COMMUNICATION, UTILITIES","43.36","0.00"
"COMMUNICATIONS","FISCAL YEAR 2010","2010Q2","PRINTING AND REPRODUCTION","124.50","0.00"
"COMMUNICATIONS","FISCAL YEAR 2010","2010Q2","OTHER SERVICES","1,192,070.05","511,748.24"
"COMMUNICATIONS","FISCAL YEAR 2010","2010Q2","SUPPLIES AND MATERIALS","176,412.94","34,101.35"
"COMMUNICATIONS","FISCAL YEAR 2010","2010Q2","EQUIPMENT","1,120,477.49","629,806.49"
"OFFICE OF FINANCE","FISCAL YEAR 2010","2010Q2","TRAVEL","3,300.81","1,362.52"
"OFFICE OF FINANCE","FISCAL YEAR 2010","2010Q2","RENT, COMMUNICATION, UTILITIES","60,220.52","26,947.54"
"OFFICE OF FINANCE","FISCAL YEAR 2010","2010Q2","PRINTING AND REPRODUCTION","1,978.63","1,228.90"
"OFFICE OF FINANCE","FISCAL YEAR 2010","2010Q2","OTHER SERVICES","384,789.09","249,611.71"
"OFFICE OF FINANCE","FISCAL YEAR 2010","2010Q2","SUPPLIES AND MATERIALS","45,571.48","14,633.39"
"OFFICE OF FINANCE","FISCAL YEAR 2010","2010Q2","EQUIPMENT","17,820.55","6,133.98"
"OFFICE OF FINANCE","FISCAL YEAR 2010","2010Q2","PERSONNEL COMPENSATION","45,092,168.21","15,310,167.93"
"CLERK OF THE HOUSE","FISCAL YEAR 2010","2010Q2","PERSONNEL COMPENSATION","15,258,574.08","5,182,219.00"
"CLERK OF THE HOUSE","FISCAL YEAR 2010","2010Q2","TRAVEL","46,731.43","25,404.16"
"CLERK OF THE HOUSE","FISCAL YEAR 2010","2010Q2","TRANSPORTATION OF THINGS","728.75","728.75"
"CLERK OF THE HOUSE","FISCAL YEAR 2010","2010Q2","RENT, COMMUNICATION, UTILITIES","136,142.63","47,564.88"
"CLERK OF THE HOUSE","FISCAL YEAR 2010","2010Q2","PRINTING AND REPRODUCTION","933.82","-2,614.43"
"CLERK OF THE HOUSE","FISCAL YEAR 2010","2010Q2","OTHER SERVICES","1,117,198.60","533,186.47"
"CLERK OF THE HOUSE","FISCAL YEAR 2010","2010Q2","SUPPLIES AND MATERIALS","295,721.40","146,826.79"
"CLERK OF THE HOUSE","FISCAL YEAR 2010","2010Q2","EQUIPMENT","289,321.76","131,572.19"
"CLERK OF THE HOUSE","FISCAL YEAR 2010","2010Q2","SUPPLIES AND MATERIALS","7,800.50","0.00"
"CLERK OF THE HOUSE","FISCAL YEAR 2010","2010Q2","SUPPLIES AND MATERIALS","9,565.50","0.00"
"OFFICE OF GENERAL COUNSEL","FISCAL YEAR 2010","2010Q2","FRANKED MAIL","200.00","0.00"
"OFFICE OF GENERAL COUNSEL","FISCAL YEAR 2010","2010Q2","PERSONNEL COMPENSATION","791,888.37","265,874.35"
"OFFICE OF GENERAL COUNSEL","FISCAL YEAR 2010","2010Q2","TRAVEL","6,860.35","2,175.81"
"OFFICE OF GENERAL COUNSEL","FISCAL YEAR 2010","2010Q2","RENT, COMMUNICATION, UTILITIES","5,858.43","2,351.44"
"OFFICE OF GENERAL COUNSEL","FISCAL YEAR 2010","2010Q2","PRINTING AND REPRODUCTION","33.90","31.90"
"OFFICE OF GENERAL COUNSEL","FISCAL YEAR 2010","2010Q2","OTHER SERVICES","3,326.73","291.00"
"OFFICE OF GENERAL COUNSEL","FISCAL YEAR 2010","2010Q2","SUPPLIES AND MATERIALS","23,707.97","14,671.28"
"OFFICE OF GENERAL COUNSEL","FISCAL YEAR 2010","2010Q2","EQUIPMENT","7,635.98","4,266.29"
"SERGEANT AT ARMS","FISCAL YEAR 2010","2010Q2","PERSONNEL COMPENSATION","5,575,833.97","1,875,395.52"
"SERGEANT AT ARMS","FISCAL YEAR 2010","2010Q2","TRAVEL","9,759.93","1,964.71"
"SERGEANT AT ARMS","FISCAL YEAR 2010","2010Q2","RENT, COMMUNICATION, UTILITIES","89,161.90","43,671.01"
"SERGEANT AT ARMS","FISCAL YEAR 2010","2010Q2","PRINTING AND REPRODUCTION","1,764.72","1,588.75"
"SERGEANT AT ARMS","FISCAL YEAR 2010","2010Q2","OTHER SERVICES","208,723.80","82,030.71"
"SERGEANT AT ARMS","FISCAL YEAR 2010","2010Q2","SUPPLIES AND MATERIALS","50,103.63","18,356.52"
"SERGEANT AT ARMS","FISCAL YEAR 2010","2010Q2","EQUIPMENT","122,986.27","93,163.82"
"SERGEANT AT ARMS","FISCAL YEAR 2010","2010Q2","OTHER SERVICES","92.00","0.00"
"OFFICE OF THE CHAPLAIN","FISCAL YEAR 2010","2010Q2","PERSONNEL COMPENSATION","129,375.00","43,125.00"
"OFFICE OF THE CHAPLAIN","FISCAL YEAR 2010","2010Q2","PRINTING AND REPRODUCTION","24.70","0.00"
"OFFICE OF THE PARLIAMENTARIAN","FISCAL YEAR 2010","2010Q2","PERSONNEL COMPENSATION","897,874.95","303,874.98"
"OFFICE OF THE PARLIAMENTARIAN","FISCAL YEAR 2010","2010Q2","RENT, COMMUNICATION, UTILITIES","16,916.17","6,328.25"
"OFFICE OF THE PARLIAMENTARIAN","FISCAL YEAR 2010","2010Q2","PRINTING AND REPRODUCTION","12.80","0.00"
"OFFICE OF THE PARLIAMENTARIAN","FISCAL YEAR 2010","2010Q2","OTHER SERVICES","17,075.00","2,700.00"
"OFFICE OF THE PARLIAMENTARIAN","FISCAL YEAR 2010","2010Q2","SUPPLIES AND MATERIALS","3,669.79","2,006.34"
"OFFICE OF THE PARLIAMENTARIAN","FISCAL YEAR 2010","2010Q2","EQUIPMENT","2,648.41","1,208.47"
"COMPILATION OF PRECEDENTS","FISCAL YEAR 2010","2010Q2","PERSONNEL COMPENSATION","230,749.95","79,249.98"
"TECHNICAL ASSISTANTS","FISCAL YEAR 2010","2010Q2","PERSONNEL COMPENSATION","251,546.03","84,776.76"
"FORMER SPEAKER HASTERT","FISCAL YEAR 2010","2010Q2","PERSONNEL COMPENSATION","266,937.03","88,979.01"
"FORMER SPEAKER HASTERT","FISCAL YEAR 2010","2010Q2","TRAVEL","3,414.07","196.30"
"FORMER SPEAKER HASTERT","FISCAL YEAR 2010","2010Q2","RENT, COMMUNICATION, UTILITIES","61,705.55","20,823.54"
"FORMER SPEAKER HASTERT","FISCAL YEAR 2010","2010Q2","OTHER SERVICES","16,000.00","6,000.00"
"FORMER SPEAKER HASTERT","FISCAL YEAR 2010","2010Q2","SUPPLIES AND MATERIALS","1,943.71","1,657.76"
"OFFICE OF INSPECTOR GENERAL","FISCAL YEAR 2010","2010Q2","PERSONNEL COMPENSATION","1,986,787.61","637,255.38"
"OFFICE OF INSPECTOR GENERAL","FISCAL YEAR 2010","2010Q2","TRAVEL","7,589.83","3,804.91"
"OFFICE OF INSPECTOR GENERAL","FISCAL YEAR 2010","2010Q2","RENT, COMMUNICATION, UTILITIES","14,940.80","5,488.40"
"OFFICE OF INSPECTOR GENERAL","FISCAL YEAR 2010","2010Q2","PRINTING AND REPRODUCTION","106.80","61.85"
"OFFICE OF INSPECTOR GENERAL","FISCAL YEAR 2010","2010Q2","OTHER SERVICES","444,307.13","391,559.75"
"OFFICE OF INSPECTOR GENERAL","FISCAL YEAR 2010","2010Q2","SUPPLIES AND MATERIALS","29,480.40","13,376.22"
"OFFICE OF INSPECTOR GENERAL","FISCAL YEAR 2010","2010Q2","EQUIPMENT","50,402.93","47,008.57"
"OFFICE OF THE HISTORIAN","FISCAL YEAR 2010","2010Q2","PERSONNEL COMPENSATION","301,529.45","99,419.73"
