"OFFICE","YEAR","QUARTER","CATEGORY","YTD","AMOUNT"
"OFFICE OF THE MINORITY LEADER","FISCAL YEAR 2010","2010Q3","PERSONNEL COMPENSATION","1,786,391.17","457,571.50"
"OFFICE OF THE MINORITY LEADER","FISCAL YEAR 2010","2010Q3","TRAVEL","4,394.90","3,958.90"
"OFFICE OF THE MINORITY LEADER","FISCAL YEAR 2010","2010Q3","RENT, COMMUNICATION, UTILITIES","1,107.26","281.44"
"OFFICE OF THE MINORITY LEADER","FISCAL YEAR 2010","2010Q3","PRINTING AND REPRODUCTION","264.65","19.20"
"OFFICE OF THE MINORITY LEADER","FISCAL YEAR 2010","2010Q3","OTHER SERVICES","495.00","0.00"
"OFFICE OF THE MINORITY LEADER","FISCAL YEAR 2010","2010Q3","SUPPLIES AND MATERIALS","112,158.13","21,014.02"
"OFFICE OF THE MINORITY LEADER","FISCAL YEAR 2010","2010Q3","PERSONNEL BENEFITS","9,999.96","2,499.99"
"OFFICE OF THE MAJORITY WHIP","FISCAL YEAR 2010","2010Q3","PERSONNEL COMPENSATION","165,474.66","41,250.00"
"OFFICE OF THE MAJORITY WHIP","FISCAL YEAR 2010","2010Q3","PERSONNEL COMPENSATION","1,396,457.15","345,582.77"
"OFFICE OF THE MAJORITY WHIP","FISCAL YEAR 2010","2010Q3","TRAVEL","3,065.64","959.84"
"OFFICE OF THE MAJORITY WHIP","FISCAL YEAR 2010","2010Q3","RENT, COMMUNICATION, UTILITIES","602.03","45.98"
"OFFICE OF THE MAJORITY WHIP","FISCAL YEAR 2010","2010Q3","PRINTING AND REPRODUCTION","950.30","219.00"
"OFFICE OF THE MAJORITY WHIP","FISCAL YEAR 2010","2010Q3","OTHER SERVICES","7,034.15","2,189.34"
"OFFICE OF THE MAJORITY WHIP","FISCAL YEAR 2010","2010Q3","SUPPLIES AND MATERIALS","89,650.43","16,009.42"
"OFFICE OF THE MINORITY WHIP","FISCAL YEAR 2010","2010Q3","PERSONNEL COMPENSATION","352,706.06","85,799.01"
"OFFICE OF THE MINORITY WHIP","FISCAL YEAR 2010","2010Q3","PERSONNEL COMPENSATION","1,090,762.94","274,837.66"
"OFFICE OF THE MINORITY WHIP","FISCAL YEAR 2010","2010Q3","TRAVEL","12,546.47","2,498.18"
"OFFICE OF THE MINORITY WHIP","FISCAL YEAR 2010","2010Q3","RENT, COMMUNICATION, UTILITIES","590.87","7.61"
"OFFICE OF THE MINORITY WHIP","FISCAL YEAR 2010","2010Q3","PRINTING AND REPRODUCTION","2,607.29","69.85"
"OFFICE OF THE MINORITY WHIP","FISCAL YEAR 2010","2010Q3","OTHER SERVICES","990.00","0.00"
"OFFICE OF THE MINORITY WHIP","FISCAL YEAR 2010","2010Q3","SUPPLIES AND MATERIALS","205,152.30","41,316.69"
"DEMOCRATIC STEERING AND POLICY","FISCAL YEAR 2010","2010Q3","PERSONNEL COMPENSATION","360,625.00","116,250.00"
"DEMOCRATIC STEERING AND POLICY","FISCAL YEAR 2010","2010Q3","PERSONNEL COMPENSATION","993,797.64","327,360.30"
"DEMOCRATIC CAUCUS","FISCAL YEAR 2010","2010Q3","PERSONNEL COMPENSATION","302,250.03","74,375.01"
"DEMOCRATIC CAUCUS","FISCAL YEAR 2010","2010Q3","PERSONNEL COMPENSATION","1,396,186.69","297,923.04"
"DEMOCRATIC CAUCUS","FISCAL YEAR 2010","2010Q3","TRAVEL","5,151.03","36.50"
"DEMOCRATIC CAUCUS","FISCAL YEAR 2010","2010Q3","RENT, COMMUNICATION, UTILITIES","12,620.00","0.00"
"DEMOCRATIC CAUCUS","FISCAL YEAR 2010","2010Q3","PRINTING AND REPRODUCTION","2,433.23","455.63"
"DEMOCRATIC CAUCUS","FISCAL YEAR 2010","2010Q3","OTHER SERVICES","9,573.74","413.79"
"DEMOCRATIC CAUCUS","FISCAL YEAR 2010","2010Q3","SUPPLIES AND MATERIALS","143,100.12","40,655.78"
"REPUBLICAN CONFERENCE","FISCAL YEAR 2010","2010Q3","PERSONNEL COMPENSATION","317,966.24","82,543.34"
"REPUBLICAN CONFERENCE","FISCAL YEAR 2010","2010Q3","PERSONNEL COMPENSATION","1,076,914.29","278,846.36"
"REPUBLICAN CONFERENCE","FISCAL YEAR 2010","2010Q3","TRAVEL","7,889.66","5,731.01"
"REPUBLICAN CONFERENCE","FISCAL YEAR 2010","2010Q3","RENT, COMMUNICATION, UTILITIES","10,933.67","3,297.38"
"REPUBLICAN CONFERENCE","FISCAL YEAR 2010","2010Q3","PRINTING AND REPRODUCTION","48.30","48.30"
"REPUBLICAN CONFERENCE","FISCAL YEAR 2010","2010Q3","OTHER SERVICES","4,233.57","407.19"
"REPUBLICAN CONFERENCE","FISCAL YEAR 2010","2010Q3","SUPPLIES AND MATERIALS","82,026.46","26,303.22"
"REPUBLICAN CONFERENCE","FISCAL YEAR 2010","2010Q3","EQUIPMENT","59.95","59.95"
"REPUBLICAN POLICY COMMITTEE","FISCAL YEAR 2010","2010Q3","PERSONNEL COMPENSATION","217,275.15","12,152.85"
"REPUBLICAN POLICY COMMITTEE","FISCAL YEAR 2010","2010Q3","TRAVEL","105.42","0.00"
"REPUBLICAN POLICY COMMITTEE","FISCAL YEAR 2010","2010Q3","RENT, COMMUNICATION, UTILITIES","225.14","0.00"
"REPUBLICAN POLICY COMMITTEE","FISCAL YEAR 2010","2010Q3","PRINTING AND REPRODUCTION","13,245.20","31.90"
"REPUBLICAN POLICY COMMITTEE","FISCAL YEAR 2010","2010Q3","OTHER SERVICES","45,347.00","10,047.00"
"REPUBLICAN POLICY COMMITTEE","FISCAL YEAR 2010","2010Q3","SUPPLIES AND MATERIALS","5,141.31","372.10"
"REPUBLICAN STEERING COMMITTEE","FISCAL YEAR 2010","2010Q3","PERSONNEL COMPENSATION","670,831.64","172,522.50"
"REPUBLICAN STEERING COMMITTEE","FISCAL YEAR 2010","2010Q3","PERSONNEL COMPENSATION","15,000.00","0.00"
"MINORITY EMPLOYEES","FISCAL YEAR 2010","2010Q3","PERSONNEL COMPENSATION","1,025,923.31","263,004.16"
"LEGISLATIVE FLOOR ACTIVITIES","FISCAL YEAR 2010","2010Q3","PERSONNEL COMPENSATION","516,458.33","128,333.33"
"RC-TRAINING & PROGRAM DEVEL.","FISCAL YEAR 2010","2010Q3","PERSONNEL COMPENSATION","209,080.24","46,323.92"
"DS-TRAINING & PROGRAM DEVEL.","FISCAL YEAR 2010","2010Q3","PERSONNEL COMPENSATION","279,977.36","70,374.83"
"CLOAKROOM PERSONNEL - MAJ","FISCAL YEAR 2010","2010Q3","PERSONNEL COMPENSATION","479,301.04","121,381.60"
"CLOAKROOM PERSONNEL - MIN","FISCAL YEAR 2010","2010Q3","PERSONNEL COMPENSATION","378,079.11","95,787.48"
"CHIEF ADMINISTRATIVE OFFICER","FISCAL YEAR 2010","2010Q3","TRAVEL","13,567.63","5,459.90"
"CHIEF ADMINISTRATIVE OFFICER","FISCAL YEAR 2010","2010Q3","RENT, COMMUNICATION, UTILITIES","43,282.35","21,622.49"
"CHIEF ADMINISTRATIVE OFFICER","FISCAL YEAR 2010","2010Q3","PRINTING AND REPRODUCTION","10,280.36","2,999.75"
"CHIEF ADMINISTRATIVE OFFICER","FISCAL YEAR 2010","2010Q3","OTHER SERVICES","134,426.29","83,579.71"
"CHIEF ADMINISTRATIVE OFFICER","FISCAL YEAR 2010","2010Q3","SUPPLIES AND MATERIALS","37,405.72","17,038.34"
"CHIEF ADMINISTRATIVE OFFICER","FISCAL YEAR 2010","2010Q3","EQUIPMENT","275,608.49","38,802.99"
"CHIEF ADMINISTRATIVE OFFICER","FISCAL YEAR 2010","2010Q3","TRAVEL","13,751.94","4,780.65"
"CHIEF ADMINISTRATIVE OFFICER","FISCAL YEAR 2010","2010Q3","RENT, COMMUNICATION, UTILITIES","5,131.86","1,040.30"
"CHIEF ADMINISTRATIVE OFFICER","FISCAL YEAR 2010","2010Q3","PRINTING AND REPRODUCTION","7,697.72","2,830.00"
"CHIEF ADMINISTRATIVE OFFICER","FISCAL YEAR 2010","2010Q3","OTHER SERVICES","353,319.32","80,670.12"
"CHIEF ADMINISTRATIVE OFFICER","FISCAL YEAR 2010","2010Q3","SUPPLIES AND MATERIALS","22,507.57","3,598.72"
"CHIEF ADMINISTRATIVE OFFICER","FISCAL YEAR 2010","2010Q3","EQUIPMENT","79,150.26","79,150.26"
"CHIEF ADMINISTRATIVE OFFICER","FISCAL YEAR 2010","2010Q3","OTHER SERVICES","2,888,737.28","1,176,814.19"
"CHIEF ADMINISTRATIVE OFFICER","FISCAL YEAR 2010","2010Q3","EQUIPMENT","105,166.11","25,971.06"
"CHIEF ADMINISTRATIVE OFFICER","FISCAL YEAR 2010","2010Q3","OTHER SERVICES","7,211,085.95","3,736,508.10"
"CHIEF ADMINISTRATIVE OFFICER","FISCAL YEAR 2010","2010Q3","EQUIPMENT","353,589.61","98,110.12"
"CHIEF ADMINISTRATIVE OFFICER","FISCAL YEAR 2010","2010Q3","RENT, COMMUNICATION, UTILITIES","43,270.38","13,480.66"
"CHIEF ADMINISTRATIVE OFFICER","FISCAL YEAR 2010","2010Q3","PRINTING AND REPRODUCTION","81.27","72.89"
"CHIEF ADMINISTRATIVE OFFICER","FISCAL YEAR 2010","2010Q3","OTHER SERVICES","4,857.75","1,619.25"
"CHIEF ADMINISTRATIVE OFFICER","FISCAL YEAR 2010","2010Q3","SUPPLIES AND MATERIALS","18,855.24","3,806.94"
"CHIEF ADMINISTRATIVE OFFICER","FISCAL YEAR 2010","2010Q3","EQUIPMENT","21,089.22","9,990.34"
"CHIEF ADMINISTRATIVE OFFICER","FISCAL YEAR 2010","2010Q3","OTHER SERVICES","67,009.00","67,009.00"
"CHIEF ADMINISTRATIVE OFFICER","FISCAL YEAR 2010","2010Q3","SUPPLIES AND MATERIALS","513.40","0.00"
"CAO ADVANCED BUSINESS SOLUTION","FISCAL YEAR 2010","2010Q3","TRAVEL","22,746.35","0.00"
"CAO ADVANCED BUSINESS SOLUTION","FISCAL YEAR 2010","2010Q3","RENT, COMMUNICATION, UTILITIES","861,699.55","108,587.45"
"CAO ADVANCED BUSINESS SOLUTION","FISCAL YEAR 2010","2010Q3","OTHER SERVICES","383,847.73","130,145.66"
"CAO ADVANCED BUSINESS SOLUTION","FISCAL YEAR 2010","2010Q3","SUPPLIES AND MATERIALS","806,047.53","235,046.56"
"CAO ADVANCED BUSINESS SOLUTION","FISCAL YEAR 2010","2010Q3","EQUIPMENT","115,165.50","17,684.13"
"CAO ADVANCED BUSINESS SOLUTION","FISCAL YEAR 2010","2010Q3","TRAVEL","2,674.80","-50.00"
"CAO ADVANCED BUSINESS SOLUTION","FISCAL YEAR 2010","2010Q3","OTHER SERVICES","192,009.27","96,294.27"
"CAO ADVANCED BUSINESS SOLUTION","FISCAL YEAR 2010","2010Q3","EQUIPMENT","342,687.39","43,795.31"
"CAO ADVANCED BUSINESS SOLUTION","FISCAL YEAR 2010","2010Q3","OTHER SERVICES","167,185.85","62,547.44"
"CAO ADVANCED BUSINESS SOLUTION","FISCAL YEAR 2010","2010Q3","SUPPLIES AND MATERIALS","2,815.60","576.90"
"CAO ADVANCED BUSINESS SOLUTION","FISCAL YEAR 2010","2010Q3","EQUIPMENT","723,879.40","546,139.63"
"HOUSE INFORMATION RESOURCES","FISCAL YEAR 2010","2010Q3","TRAVEL","115,280.74","25,375.30"
"HOUSE INFORMATION RESOURCES","FISCAL YEAR 2010","2010Q3","TRANSPORTATION OF THINGS","78.91","43.63"
"HOUSE INFORMATION RESOURCES","FISCAL YEAR 2010","2010Q3","RENT, COMMUNICATION, UTILITIES","508,777.95","155,226.30"
"HOUSE INFORMATION RESOURCES","FISCAL YEAR 2010","2010Q3","PRINTING AND REPRODUCTION","541.59","205.69"
"HOUSE INFORMATION RESOURCES","FISCAL YEAR 2010","2010Q3","OTHER SERVICES","689,890.15","200,977.72"
"HOUSE INFORMATION RESOURCES","FISCAL YEAR 2010","2010Q3","SUPPLIES AND MATERIALS","130,256.74","39,505.09"
"HOUSE INFORMATION RESOURCES","FISCAL YEAR 2010","2010Q3","EQUIPMENT","125,269.84","33,615.17"
"HOUSE INFORMATION RESOURCES","FISCAL YEAR 2010","2010Q3","RENT, COMMUNICATION, UTILITIES","1,660,477.73","694,586.08"
"HOUSE INFORMATION RESOURCES","FISCAL YEAR 2010","2010Q3","OTHER SERVICES","932,085.55","23,232.90"
"HOUSE INFORMATION RESOURCES","FISCAL YEAR 2010","2010Q3","SUPPLIES AND MATERIALS","2,919.74","611.00"
"HOUSE INFORMATION RESOURCES","FISCAL YEAR 2010","2010Q3","EQUIPMENT","226,177.14","87,240.93"
"HOUSE INFORMATION RESOURCES","FISCAL YEAR 2010","2010Q3","TRANSPORTATION OF THINGS","3,612.26","100.00"
"HOUSE INFORMATION RESOURCES","FISCAL YEAR 2010","2010Q3","OTHER SERVICES","1,035,083.04","343,882.47"
"HOUSE INFORMATION RESOURCES","FISCAL YEAR 2010","2010Q3","SUPPLIES AND MATERIALS","791,083.15","124,090.96"
"HOUSE INFORMATION RESOURCES","FISCAL YEAR 2010","2010Q3","EQUIPMENT","2,579,978.07","1,042,376.54"
"HOUSE INFORMATION RESOURCES","FISCAL YEAR 2010","2010Q3","TRANSPORTATION OF THINGS","20.35","0.00"
"HOUSE INFORMATION RESOURCES","FISCAL YEAR 2010","2010Q3","RENT, COMMUNICATION, UTILITIES","3,445,019.76","974,746.75"
"HOUSE INFORMATION RESOURCES","FISCAL YEAR 2010","2010Q3","OTHER SERVICES","112,365.74","58,691.50"
"HOUSE INFORMATION RESOURCES","FISCAL YEAR 2010","2010Q3","SUPPLIES AND MATERIALS","3,568.26","1,189.12"
"HOUSE INFORMATION RESOURCES","FISCAL YEAR 2010","2010Q3","EQUIPMENT","2,275,603.70","861,331.10"
"HOUSE INFORMATION RESOURCES","FISCAL YEAR 2010","2010Q3","RENT, COMMUNICATION, UTILITIES","3,587.00","1,000.00"
"HOUSE INFORMATION RESOURCES","FISCAL YEAR 2010","2010Q3","OTHER SERVICES","49,585.44","39,044.35"
"HOUSE INFORMATION RESOURCES","FISCAL YEAR 2010","2010Q3","SUPPLIES AND MATERIALS","53,701.52","29,797.85"
"HOUSE INFORMATION RESOURCES","FISCAL YEAR 2010","2010Q3","EQUIPMENT","1,954,618.28","763,124.49"
"HOUSE INFORMATION RESOURCES","FISCAL YEAR 2010","2010Q3","TRANSPORTATION OF THINGS","150.00","150.00"
"HOUSE INFORMATION RESOURCES","FISCAL YEAR 2010","2010Q3","RENT, COMMUNICATION, UTILITIES","241.43","44.27"
"HOUSE INFORMATION RESOURCES","FISCAL YEAR 2010","2010Q3","OTHER SERVICES","53,822.30","39,542.30"
"HOUSE INFORMATION RESOURCES","FISCAL YEAR 2010","2010Q3","SUPPLIES AND MATERIALS","4,312.29","33.55"
"HOUSE INFORMATION RESOURCES","FISCAL YEAR 2010","2010Q3","EQUIPMENT","118,432.36","6,595.00"
"HOUSE INFORMATION RESOURCES","FISCAL YEAR 2010","2010Q3","OTHER SERVICES","86,326.96","34,319.51"
"HOUSE INFORMATION RESOURCES","FISCAL YEAR 2010","2010Q3","TRAVEL","1,690.85","1,690.85"
"HOUSE INFORMATION RESOURCES","FISCAL YEAR 2010","2010Q3","OTHER SERVICES","1,730,078.03","404,276.45"
"HOUSE INFORMATION RESOURCES","FISCAL YEAR 2010","2010Q3","SUPPLIES AND MATERIALS","4,480.64","885.00"
"HOUSE INFORMATION RESOURCES","FISCAL YEAR 2010","2010Q3","EQUIPMENT","1,855,052.77","711,901.14"
"HOUSE INFORMATION RESOURCES","FISCAL YEAR 2010","2010Q3","EQUIPMENT","1,655,040.00","0.00"
"HOUSE INFORMATION RESOURCES","FISCAL YEAR 2010","2010Q3","OTHER SERVICES","196,654.80","101,751.00"
"HOUSE INFORMATION RESOURCES","FISCAL YEAR 2010","2010Q3","SUPPLIES AND MATERIALS","39,295.00","15,808.70"
"HOUSE INFORMATION RESOURCES","FISCAL YEAR 2010","2010Q3","EQUIPMENT","353,498.78","14,038.00"
"HOUSE INFORMATION RESOURCES","FISCAL YEAR 2010","2010Q3","TRAVEL","4,506.11","0.00"
"HOUSE INFORMATION RESOURCES","FISCAL YEAR 2010","2010Q3","TRANSPORTATION OF THINGS","3,903.28","0.00"
"HOUSE INFORMATION RESOURCES","FISCAL YEAR 2010","2010Q3","OTHER SERVICES","539,896.70","255,099.10"
"HOUSE INFORMATION RESOURCES","FISCAL YEAR 2010","2010Q3","SUPPLIES AND MATERIALS","9,082.46","0.00"
"HOUSE INFORMATION RESOURCES","FISCAL YEAR 2010","2010Q3","EQUIPMENT","1,304,714.36","409,234.03"
"CAO OPERATIONS MANAGEMENT","FISCAL YEAR 2010","2010Q3","TRAVEL","53,450.23","18,824.70"
"CAO OPERATIONS MANAGEMENT","FISCAL YEAR 2010","2010Q3","RENT, COMMUNICATION, UTILITIES","211,277.07","50,970.04"
"CAO OPERATIONS MANAGEMENT","FISCAL YEAR 2010","2010Q3","PRINTING AND REPRODUCTION","261.46","53.55"
"CAO OPERATIONS MANAGEMENT","FISCAL YEAR 2010","2010Q3","OTHER SERVICES","602,218.89","280,096.29"
"CAO OPERATIONS MANAGEMENT","FISCAL YEAR 2010","2010Q3","SUPPLIES AND MATERIALS","301,905.87","69,654.37"
"CAO OPERATIONS MANAGEMENT","FISCAL YEAR 2010","2010Q3","EQUIPMENT","1,250,296.27","318,797.67"
"CAO OPERATIONS MANAGEMENT","FISCAL YEAR 2010","2010Q3","RENT, COMMUNICATION, UTILITIES","-95,136.00","-22,368.00"
"CAO OPERATIONS MANAGEMENT","FISCAL YEAR 2010","2010Q3","OTHER SERVICES","710.52","710.52"
"COMMUNICATIONS","FISCAL YEAR 2010","2010Q3","TRAVEL","40,986.05","16,114.63"
"COMMUNICATIONS","FISCAL YEAR 2010","2010Q3","TRANSPORTATION OF THINGS","68,621.20","36,389.04"
"COMMUNICATIONS","FISCAL YEAR 2010","2010Q3","RENT, COMMUNICATION, UTILITIES","90,088.81","25,543.56"
"COMMUNICATIONS","FISCAL YEAR 2010","2010Q3","PRINTING AND REPRODUCTION","374.32","274.52"
"COMMUNICATIONS","FISCAL YEAR 2010","2010Q3","OTHER SERVICES","280,710.76","78,895.78"
"COMMUNICATIONS","FISCAL YEAR 2010","2010Q3","SUPPLIES AND MATERIALS","628,367.25","240,283.11"
"COMMUNICATIONS","FISCAL YEAR 2010","2010Q3","EQUIPMENT","169,958.83","27,652.30"
"COMMUNICATIONS","FISCAL YEAR 2010","2010Q3","RENT, COMMUNICATION, UTILITIES","43.36","0.00"
"COMMUNICATIONS","FISCAL YEAR 2010","2010Q3","PRINTING AND REPRODUCTION","154.50","30.00"
"COMMUNICATIONS","FISCAL YEAR 2010","2010Q3","OTHER SERVICES","1,790,409.23","598,339.18"
"COMMUNICATIONS","FISCAL YEAR 2010","2010Q3","SUPPLIES AND MATERIALS","344,064.81","167,651.87"
"COMMUNICATIONS","FISCAL YEAR 2010","2010Q3","EQUIPMENT","2,027,043.05","906,565.56"
"OFFICE OF FINANCE","FISCAL YEAR 2010","2010Q3","TRAVEL","4,973.94","1,673.13"
"OFFICE OF FINANCE","FISCAL YEAR 2010","2010Q3","RENT, COMMUNICATION, UTILITIES","90,465.07","30,244.55"
"OFFICE OF FINANCE","FISCAL YEAR 2010","2010Q3","PRINTING AND REPRODUCTION","1,978.63","0.00"
"OFFICE OF FINANCE","FISCAL YEAR 2010","2010Q3","OTHER SERVICES","1,022,430.35","637,641.26"
"OFFICE OF FINANCE","FISCAL YEAR 2010","2010Q3","SUPPLIES AND MATERIALS","63,621.06","18,049.58"
"OFFICE OF FINANCE","FISCAL YEAR 2010","2010Q3","EQUIPMENT","28,292.56","10,472.01"
"OFFICE OF FINANCE","FISCAL YEAR 2010","2010Q3","OTHER SERVICES","32,058.88","32,058.88"
"OFFICE OF FINANCE","FISCAL YEAR 2010","2010Q3","PERSONNEL COMPENSATION","60,377,841.75","15,285,673.54"
"CLERK OF THE HOUSE","FISCAL YEAR 2010","2010Q3","PERSONNEL COMPENSATION","20,272,401.09","5,013,827.01"
"CLERK OF THE HOUSE","FISCAL YEAR 2010","2010Q3","TRAVEL","80,446.62","33,715.19"
"CLERK OF THE HOUSE","FISCAL YEAR 2010","2010Q3","TRANSPORTATION OF THINGS","10,583.00","9,854.25"
"CLERK OF THE HOUSE","FISCAL YEAR 2010","2010Q3","RENT, COMMUNICATION, UTILITIES","183,015.28","46,872.65"
"CLERK OF THE HOUSE","FISCAL YEAR 2010","2010Q3","PRINTING AND REPRODUCTION","-2,012.81","-2,946.63"
"CLERK OF THE HOUSE","FISCAL YEAR 2010","2010Q3","OTHER SERVICES","1,611,849.01","494,650.41"
"CLERK OF THE HOUSE","FISCAL YEAR 2010","2010Q3","SUPPLIES AND MATERIALS","477,286.08","181,564.68"
"CLERK OF THE HOUSE","FISCAL YEAR 2010","2010Q3","EQUIPMENT","521,408.75","232,086.99"
"CLERK OF THE HOUSE","FISCAL YEAR 2010","2010Q3","SUPPLIES AND MATERIALS","8,692.50","892.00"
"CLERK OF THE HOUSE","FISCAL YEAR 2010","2010Q3","OTHER SERVICES","800.00","800.00"
"CLERK OF THE HOUSE","FISCAL YEAR 2010","2010Q3","SUPPLIES AND MATERIALS","17,051.68","7,486.18"
"OFFICE OF GENERAL COUNSEL","FISCAL YEAR 2010","2010Q3","FRANKED MAIL","200.00","0.00"
"OFFICE OF GENERAL COUNSEL","FISCAL YEAR 2010","2010Q3","PERSONNEL COMPENSATION","1,055,356.05","263,467.68"
"OFFICE OF GENERAL COUNSEL","FISCAL YEAR 2010","2010Q3","TRAVEL","6,860.35","0.00"
"OFFICE OF GENERAL COUNSEL","FISCAL YEAR 2010","2010Q3","RENT, COMMUNICATION, UTILITIES","8,565.76","2,707.33"
"OFFICE OF GENERAL COUNSEL","FISCAL YEAR 2010","2010Q3","PRINTING AND REPRODUCTION","65.80","31.90"
"OFFICE OF GENERAL COUNSEL","FISCAL YEAR 2010","2010Q3","OTHER SERVICES","3,807.73","481.00"
"OFFICE OF GENERAL COUNSEL","FISCAL YEAR 2010","2010Q3","SUPPLIES AND MATERIALS","38,403.87","14,695.90"
"OFFICE OF GENERAL COUNSEL","FISCAL YEAR 2010","2010Q3","EQUIPMENT","10,295.65","2,659.67"
"SERGEANT AT ARMS","FISCAL YEAR 2010","2010Q3","PERSONNEL COMPENSATION","7,474,609.03","1,898,775.06"
"SERGEANT AT ARMS","FISCAL YEAR 2010","2010Q3","TRAVEL","14,255.80","4,495.87"
"SERGEANT AT ARMS","FISCAL YEAR 2010","2010Q3","RENT, COMMUNICATION, UTILITIES","110,868.17","21,706.27"
"SERGEANT AT ARMS","FISCAL YEAR 2010","2010Q3","PRINTING AND REPRODUCTION","4,189.16","2,424.44"
"SERGEANT AT ARMS","FISCAL YEAR 2010","2010Q3","OTHER SERVICES","472,129.75","263,405.95"
"SERGEANT AT ARMS","FISCAL YEAR 2010","2010Q3","SUPPLIES AND MATERIALS","67,172.85","17,069.22"
"SERGEANT AT ARMS","FISCAL YEAR 2010","2010Q3","EQUIPMENT","328,555.03","205,568.76"
"SERGEANT AT ARMS","FISCAL YEAR 2010","2010Q3","OTHER SERVICES","92.00","0.00"
"SERGEANT AT ARMS","FISCAL YEAR 2010","2010Q3","SUPPLIES AND MATERIALS","1,650.00","1,650.00"
"OFFICE OF THE CHAPLAIN","FISCAL YEAR 2010","2010Q3","PERSONNEL COMPENSATION","172,500.00","43,125.00"
"OFFICE OF THE CHAPLAIN","FISCAL YEAR 2010","2010Q3","PRINTING AND REPRODUCTION","52.50","27.80"
"OFFICE OF THE PARLIAMENTARIAN","FISCAL YEAR 2010","2010Q3","PERSONNEL COMPENSATION","1,201,749.93","303,874.98"
"OFFICE OF THE PARLIAMENTARIAN","FISCAL YEAR 2010","2010Q3","RENT, COMMUNICATION, UTILITIES","22,424.13","5,507.96"
"OFFICE OF THE PARLIAMENTARIAN","FISCAL YEAR 2010","2010Q3","PRINTING AND REPRODUCTION","12.80","0.00"
"OFFICE OF THE PARLIAMENTARIAN","FISCAL YEAR 2010","2010Q3","OTHER SERVICES","22,309.00","5,234.00"
"OFFICE OF THE PARLIAMENTARIAN","FISCAL YEAR 2010","2010Q3","SUPPLIES AND MATERIALS","6,766.58","3,096.79"
"OFFICE OF THE PARLIAMENTARIAN","FISCAL YEAR 2010","2010Q3","EQUIPMENT","20,567.89","17,919.48"
"COMPILATION OF PRECEDENTS","FISCAL YEAR 2010","2010Q3","PERSONNEL COMPENSATION","309,999.93","79,249.98"
"TECHNICAL ASSISTANTS","FISCAL YEAR 2010","2010Q3","PERSONNEL COMPENSATION","344,239.46","92,693.43"
