PURPOSE Field,PURPOSE FIELD DIRECTOR ,NumberOfDups
COMMUNICATIONS-CAPAC,COMMUNICATIONS-CONGRESSIONAL ASIAN PACIFIC AMERICAN CAUCUS  ,1
COMMUNITY DIRECTOR,COMMUNITY DIRECTOR  ,1
COMMUNITY OUTREACH SPECIALIST,COMMUNITY OUTREACH SPECIALIST  ,1
CONGRESSIONAL ASSISTANT (OTHER COMPENSATION),CONGRESSIONAL ASSISTANT   ,1
CONGRESSIONAL DISTRICT LIAISON (OTHER COMPENSATION),CONGRESSIONAL DISTRICT LIAISON   ,1
CONGRESSIONAL LIASON,CONGRESSIONAL LIASON  ,1
CONGRESSIONAL OUTREACH COORDIN,CONGRESSIONAL OUTREACH COORDINATOR  ,1
CONGRESSIONAL REPRESENTATIVE (OTHER COMPENSATION),CONGRESSIONAL REPRESENTATIVE   ,1
CONGRESSIONAL STAFFER,CONGRESSIONAL STAFFER  ,1
CONGRESSWOMEN’S SUITE COORDINA (OVERTIME),CONGRESSWOMEN'S SUITE COORDINATOR   ,1
CONST.SVC.REP. AND GRANTS & PROC,CONSTITUENT SERVICES REPRESENTATIVE/GRANTS AND PROC  ,1
CONSTIT SVCS REP AND GRANTS SPEC,CONSTITUENT SERVICES REPRESENTATIVE/GRANTS SPECIALIST  ,1
CONSTITUENT ADVOCATE (OVERTIME),CONSTITUENT ADVOCATE   ,1
CONSTITUENT RELATIONS REP.,CONSTITUENT RELATIONS REPRESENTATIVE  ,1
CONSTITUENT SERV AND COM FIELD REP,CONSTITUENT SERVICES/COM FIELD DIRECTOR REPRESENTATIVE  ,1
CONSTITUENT SERVICE MANAGER (OTHER COMPENSATION),CONSTITUENT SERVICE MANAGER   ,1
CONSTITUENT SERVICE SPECIALIST (OTHER COMPENSATION),CONSTITUENT SERVICE SPECIALIST   ,1
CONSTITUENT SERVICES MANAGER (OTHER COMPENSATION),CONSTITUENT SERVICES MANAGER   ,1
CONSTITUENT SERVICES REP (OTHER COMPENSATION),CONSTITUENT SERVICES REPRESENTATIVE   ,1
CONSTITUENT SVC REP AND FINANC DIR,CONSTITUENT SERVICE REPRESENTATIVE/FINANCE DIRECTOR  ,1
CONSTITUENT SVC REP AND FINANC DIR (OTHER COMPENSATION),CONSTITUENT SERVICE REPRESENTATIVE/FINANCE DIRECTOR   ,1
CONSTITUENT SVCS AND COM FIELD REP,CONSTITUENT SERVICES/COM FIELD DIRECTOR REPRESENTATIVE  ,1
CONTRACT ADMINISTRATOR (OTHER COMPENSATION),CONTRACT ADMINISTRATOR   ,1
COUNSEL FOR CONS SVCS,COUNSEL FOR CONSTITUENT SERVICES  ,1
COUNSEL AND PARLIAMENTARIAN,COUNSEL/PARLIAMENTARIAN  ,1
CUSTOMER SOLUTIONS SPECIALIST,CUSTOMER SOLUTIONS SPECIALIST  ,1
DC SCHEDULER AND EXECUTIVE ASST,DC SCHEDULER/EXECUTIVE ASSISTANT  ,1
DEMOCRATIC STAFF DIRECTOR,DEMOCRATIC STAFF DIRECTOR  ,1
DEMOCRATIC TAX COUNSEL,DEMOCRATIC TAX COUNSEL  ,1
DEP CHF COUN & DIR INV ENFORCE,DEPUTY CHIEF COUNSEL AND DIRECTOR INVESTIGATIONS ENFORCE  ,1
DEP CHF COUN & DIR OF ADV & ED (OTHER COMPENSATION),DEPUTY CHIEF COUNSEL AND DIRECTOR OF ADVOCACY AND EDUCATION   ,1
DEP COMM DIR AND LEGIS ASSIST,DEPUTY COMMUNICATION DIRECTOR/LEGISLATIVE ASSISTANT  ,1
"DEP DIR, HOUSE OFFICER OVERS’T","DEPUTY DIRECTOR, HOUSE OFFICER OVERSIGHT  ",1
DEP DIST DIR OF OUTREACH,DEPUTY DISTRICT DIRECTOR OF OUTREACH  ,1
DEP DIST DIR OF OUTREACH (OTHER COMPENSATION),DEPUTY DISTRICT DIRECTOR OF OUTREACH   ,1
DEP. CHIEF OF STAFF AND LEG. DIR. (OTHER COMPENSATION),DEPUTY CHIEF OF STAFF/LEGISLATIVE DIRECTOR   ,1
DEP. CHIEF OF STAFF AND LEGIS. DIR (OTHER COMPENSATION),DEPUTY CHIEF OF STAFF/LEGISLATIVE DIRECTOR   ,1
DEPUTY CHIEF OF STAFF FOR POLI,DEPUTY CHIEF OF STAFF FOR POLICY  ,1
DEPUTY COMM DIRECTOR (OVERTIME),DEPUTY COMMUNICATION DIRECTOR   ,1
DEPUTY COMMUNICATIONS DIRECTOR (OTHER COMPENSATION),DEPUTY COMMUNICATIONS DIRECTOR   ,1
DEPUTY COS AND LD,DEPUTY CHIEF OF STAFF/LEGISLATIVE DIRECTOR  ,1
DEPUTY DIRECTOR OF COALITIONS,DEPUTY DIRECTOR OF COALITIONS  ,1
DEPUTY DIRECTOR OF CONSTITUENT,DEPUTY DIRECTOR OF CONSTITUENT  ,1
DEPUTY PRESS SECRETARY (OTHER COMPENSATION),DEPUTY PRESS SECRETARY   ,1
DIR DEFENSE & FOREIGN AFF,DIRECTOR DEFENSE AND FOREIGN AFFAIRS  ,1
DIR DEFENSE & FOREIGN AFF (OTHER COMPENSATION),DIRECTOR DEFENSE AND FOREIGN AFFAIRS   ,1
DIR MEMBER SVCS & BUS OUTREACH,DIRECTOR MEMBER SERVICES AND BUS OUTREACH  ,1
DIR NETWORK AND UNIFIED COMMUN,DIRECTOR NETWORK AND UNIFIED COMMUNICATIONS  ,1
DIR OF COMM & INTERGOV AFFAIRS,DIRECTOR OF COMMUNICATION AND INTERGOVERNMENTAL AFFAIRS  ,1
DIR OF COMMUNCTNS & SPEC PROJE (OTHER COMPENSATION),DIRECTOR OF COMMUNICATIONS AND SPECIAL PROJECTS   ,1
DIR OF CONSTIT SERV AND OUTREA,DIRECTOR OF CONSTITUENT SERVICES AND OUTREACH  ,1
DIR OF GRANTS & SP PROJECTS,DIRECTOR OF GRANTS AND SPECIAL PROJECTS  ,1
DIR OF MEM SVCS & BUSI OUTREAC,DIRECTOR OF MEMBER SERVICES AND BUSINESS OUTREACH  ,1
DIR OF OPERATIONS AND EXEC ASST,DIRECTOR OF OPERATIONS/EXECUTIVE ASSISTANT  ,1
DIR. COMMUNITY OUTREACH & ASST,DIRECTOR COMMUNITY OUTREACH AND ASSISTANT  ,1
DIR. POLICY & FIELD OPERATIONS,DIRECTOR POLICY AND FIELD DIRECTOR OPERATIONS  ,1
DIRECTOR ASSETS,DIRECTOR ASSETS  ,1
DIRECTOR CENTRAL OREGON OFFIC,DIRECTOR CENTRAL OREGON OFFICE  ,1
DIRECTOR E-COMMUNICATIONS,DIRECTOR E-COMMUNICATIONS  ,1
DIRECTOR OF HOUSE OVERSIGHT,DIRECTOR OF HOUSE OVERSIGHT  ,1
DIRECTOR OF OUTREACH (OTHER COMPENSATION),DIRECTOR OF OUTREACH   ,1
DIRECTOR OF POLICY AND OUTREAC,DIRECTOR OF POLICY AND OUTREACH  ,1
DIRECTOR OF SPEECHWRITING,DIRECTOR OF SPEECHWRITING  ,1
"DIRECTOR, CUST SOLUTIONS CENTE","DIRECTOR, CUSTOMER SOLUTIONS CENTER  ",1
"DIRECTOR, PHOTOGRAPHY","DIRECTOR, PHOTOGRAPHY  ",1
DIST AND SCH-SPEC PROJECTS COORD,DISTRICT/SCHEDULER-SPECIALIST PROJECTS COORDINATOR  ,1
DISTRICT AFFAIRS DIRECTOR,DISTRICT AFFAIRS DIRECTOR  ,1
DISTRICT EXEC ASST AND SCHEDULER,DISTRICT EXECUTIVE ASSISTANT/SCHEDULER  ,1
DISTRICT OFFICE OPERATIONS DIR,DISTRICT OFFICE OPERATIONS DIRECTOR  ,1
DISTRICT OFFICE SCHEDULER,DISTRICT OFFICE SCHEDULER  ,1
DISTRICT OUTREACH ASSISTANT,DISTRICT OUTREACH ASSISTANT  ,1
DISTRICT POLICY DIRECTOR,DISTRICT POLICY DIRECTOR  ,1
DISTRICT PROGRAMS MANAGER,DISTRICT PROGRAMS MANAGER  ,1
DISTRICT PROJECTS DIRECTOR,DISTRICT PROJECTS DIRECTOR  ,1
DISTRICT SCHEDULER (OTHER COMPENSATION),DISTRICT SCHEDULER   ,1
DISTRICT SCHEDULER AND OFFICE MANA,DISTRICT SCHEDULER/OFFICE MANAGER  ,1
DISTRICT SCHEDULER AND OFFICE MANA (OTHER COMPENSATION),DISTRICT SCHEDULER/OFFICE MANAGER   ,1
DISTRICT STAFF ASSISTANT (OTHER COMPENSATION),DISTRICT STAFF ASSISTANT   ,1
EDITOR (OTHER COMPENSATION),EDITOR   ,1
EDUCATION POLICY ADVISOR (OTHER COMPENSATION),EDUCATION POLICY ADVISOR   ,1
EVENTS MANAGER,EVENTS MANAGER  ,1
"EXEC ASST, SUBCOMM ON DAMA","EXECUTIVE ASSISTANT, SUBCOMMUNICATION ON DAMA  ",1
EXEC ASST AND DPTY CHF OF STAFF,EXECUTIVE ASSISTANT/DEPUTY CHIEF OF STAFF  ,1
EXEC COMM CLERK (OTHER COMPENSATION),EXECUTIVE COMMUNICATION CLERK   ,1
FIELD DEPUTY (OTHER COMPENSATION),FIELD DIRECTOR DEPUTY   ,1
FIELD DIRECTOR (OTHER COMPENSATION),FIELD DIRECTOR DIRECTOR   ,1
FIELD REP & CASEWORKER (OTHER COMPENSATION),FIELD DIRECTOR REPRESENTATIVE AND CASEWORKER   ,1
FIELD REP AND CASEWORKER (OTHER COMPENSATION),FIELD DIRECTOR REPRESENTATIVE/CASEWORKER   ,1
FIELD REP AND CONSTITUENT ADVOCATE,FIELD DIRECTOR REPRESENTATIVE/CONSTITUENT ADVOCATE  ,1
FIELD REP-SANTA FE NM,FIELD DIRECTOR REPRESENTATIVE-SANTA FE NM  ,1
FINANCE,FINANCE  ,1
FINANCE MANAGER,FINANCE MANAGER  ,1
FINANCIAL ADMINIS FULL COMM,FINANCIAL ADMINIS FULL COMMUNICATION  ,1
FINANCIAL COUNSELOR (A) (OTHER COMPENSATION),FINANCIAL COUNSELOR    ,1
FINANCIAL COUNSELOR (OVERTIME),FINANCIAL COUNSELOR   ,1
FINANCIAL DIRECTOR (OTHER COMPENSATION),FINANCIAL DIRECTOR   ,1
FOREIGN AFFAIRS ASSISTANT,FOREIGN AFFAIRS ASSISTANT  ,1
GOV’T & COMMUNITY REL. LIAISON (OTHER COMPENSATION),GOVERNMENT AND COMMUNITY RELATIONS LIAISON   ,1
GRAPHIC DESIGNER,GRAPHIC DESIGNER  ,1
GRAPHIC DESIGNER (OVERTIME),GRAPHIC DESIGNER   ,1
GRAPHICS AND DESKTOP PUBL SPEC,GRAPHICS/DESKTOP PUBLICATIONS SPECIALIST  ,1
HEAD TEACHER (A) (OTHER COMPENSATION),HEAD TEACHER    ,1
HIGHER EDUC COUN & SR ADVISOR,HIGHER EDUCATION COUNSEL AND SENIOR ADVISOR  ,1
HISTORIAN,HISTORIAN  ,1
HUMAN RESOURCES GENERALIST (OTHER COMPENSATION),HUMAN RESOURCES GENERALIST   ,1
INFORMATION SECURITY MANAGER,INFORMATION SECURITY MANAGER  ,1
INFORMATION TECHNOLOGY DIR,INFORMATION TECHNOLOGY DIRECTOR  ,1
INTERIM LEGISLATIVE DIRECTOR,INTERIM LEGISLATIVE DIRECTOR  ,1
INTERN (MINORITY),INTERN (MINORITY)  ,1
JOB TITLE RESRCH AST AND FULL COM,JOB TITLE RESEARCH ASSISTANT/FULL COM  ,1
JOURNAL CLERK (OVERTIME),JOURNAL CLERK   ,1
JR LEGISLATIVE ASSOCIATE (OTHER COMPENSATION),JUNIOR LEGISLATIVE ASSOCIATE   ,1
LAWRENCE OFFICE STAFF,LAWRENCE OFFICE STAFF  ,1
LEAD CASEWORKER,LEAD CASEWORKER  ,1
LEG ASST VICTIMS RIGHTS ISSUES,LEGISLATIVE ASSISTANT VICTIMS RIGHTS ISSUES  ,1
LEG ASST AND CONSTIT OUTREACH COOR,LEGISLATIVE ASSISTANT/CONSTITUENT OUTREACH COORDINATOR  ,1
LEG ASST AND DPTY COMMUNICA DIR,LEGISLATIVE ASSISTANT/DEPUTY COMMUNICATIONS DIRECTOR  ,1
LEG ASST AND PROJECT DIRECTOR,LEGISLATIVE ASSISTANT/PROJECT DIRECTOR  ,1
LEG. CORRESPONDENT AND SYS ADMIN.,LEGISLATIVE CORRESPONDENT/SYSTEMS ADMINISTRATOR  ,1
LEGIS AIDE AND PROJECTS AND SYS ADMIN,LEGISLATIVE AIDE/PROJECTS/SYSTEMS ADMINISTRATOR  ,1
LEGIS ASSIST AND SYSTEMS ADMINISTR,LEGISLATIVE ASSISTANT/SYSTEMS ADMINSTRATOR  ,1
LEGIS ASST FOR SECURITY ISSUES,LEGISLATIVE ASSISTANT FOR SECURITY ISSUES  ,1
LEGIS CORR AND DIR OF CONST CORR,LEGISLATIVE CORRESPONDENT/DIRECTOR OF CONSTITUENT CORRESPONDENCE  ,1
LEGIS CORRES AND DEPUTY PRESS ASST,LEGISLATIVE CORRESPONDENT/DEPUTY PRESS ASSISTANT  ,1
LEGIS CORRES AND LEGIS ASSISTANT (OTHER COMPENSATION),LEGISLATIVE CORRESPONDENT/LEGISLATIVE ASSISTANT   ,1
LEGIS CORRES AND LEGIS ASST (OVERTIME),LEGISLATIVE CORRESPONDENT/LEGISLATIVE ASSISTANT   ,1
LEGIS CORRES AND LEGISLATIVE ASST,LEGISLATIVE CORRESPONDENT/LEGISLATIVE ASSISTANT  ,1
LEGIS CORRES AND STAFF ASST,LEGISLATIVE CORRESPONDENT/STAFF ASSISTANT  ,1
LEGIS CORRESPONDENT (OTHER COMPENSATION),LEGISLATIVE CORRESPONDENT   ,1
LEGIS CORRESPONDENT (OVERTIME),LEGISLATIVE CORRESPONDENT   ,1
LEGIS CORRESPONDENT AND STAFF ASST,LEGISLATIVE CORRESPONDENT/STAFF ASSISTANT  ,1
LEGIS DIR AND PRES SECY (OTHER COMPENSATION),LEGISLATIVE DIRECTOR/PRESS SECRETARY   ,1
LEGIS DIRECTOR AND DEP CHIEF OF ST,LEGISLATIVE DIRECTOR/DEPUTY CHIEF OF STAFF  ,1
LEGIS. CORRESPONDENT AND WEB ASST.,LEGISLATIVE CORRESPONDENT/WEB ASSISTANT  ,1
LEGISLATIVE AIDE (OVERTIME),LEGISLATIVE AIDE   ,1
LEGISLATIVE AIDE AND LEGIS CORRESP,LEGISLATIVE AIDE/LEGISLATIVE CORRESPONDENT  ,1
LEGISLATIVE AIDE AND LEGIS CORRESP (OTHER COMPENSATION),LEGISLATIVE AIDE/LEGISLATIVE CORRESPONDENT   ,1
LEGISLATIVE ASST - RAILROADS,LEGISLATIVE ASSISTANT - RAILROADS  ,1
LEGISLATIVE ASST AND SCHEDULER,LEGISLATIVE ASSISTANT/SCHEDULER  ,1
LEGISLATIVE ASST AND STAFF ASST,LEGISLATIVE ASSISTANT/STAFF ASSISTANT  ,1
LEGISLATIVE CORR AND SYSTEMS ADMIN (OVERTIME),LEGISLATIVE CORRESPONDENT/SYSTEMS ADMINISTRATOR   ,1
LEGISLATIVE CORRESPONDENT AND SYST (OTHER COMPENSATION),LEGISLATIVE CORRESPONDENT/SYTEMS   ,1
LEGISLATIVE COUNSEL AND LEG. ASST,LEGISLATIVE COUNSEL/LEGISLATIVE ASSISTANT  ,1
LEGISLATIVE DIRECTOR & COUNSEL (OTHER COMPENSATION),LEGISLATIVE DIRECTOR AND COUNSEL   ,1
LEGISLATIVE POLICY ADVISOR,LEGISLATIVE POLICY ADVISOR  ,1
LEGISLATIVE RESEARCH ASSIST AND WR (OTHER COMPENSATION),LEGISLATIVE RESEARCH ASSISTANT/WRITER   ,1
LEGISLATIVE STAFF (OTHER COMPENSATION),LEGISLATIVE STAFF   ,1
LEGISLATIVE AND COMMUNICATIONS AID,LEGISLATIVE/COMMUNICATIONS AID  ,1
LEGISLATIVE AND PRESS AIDE,LEGISLATIVE/PRESS AIDE  ,1
LEGIS-PROJECTS ASST,LEGISLATIVE-PROJECTS ASSISTANT  ,1
"LIAISON, COMM ECON DEV & PLNG","LIAISON, COMMUNICATION ECONOMIC DEVELOPMENT AND PLANNING  ",1
LIASION FOR COM EC DEV & PLANN,LIASION FOR COM ECONOMIC DEVELOPMENT AND PLANNING  ,1
MADDY FELLOW,MADDY FELLOW  ,1
MANAGEMENT ANALYST (OTHER COMPENSATION),MANAGEMENT ANALYST   ,1
"MANAGER, ACCOUNT MANAGEMENT","MANAGER, ACCOUNT MANAGEMENT  ",1
"MANAGER, ACQUISITION MGMT","MANAGER, ACQUISITION MANAGEMENT  ",1
"MANAGER, CHANGE INITIATIVE","MANAGER, CHANGE INITIATIVE  ",1
"MANAGER, EQUIPMENT MAINTENANCE","MANAGER, EQUIPMENT MAINTENANCE  ",1
"MANAGER, NETWORK SYST ENGINEER (OTHER COMPENSATION)","MANAGER, NETWORK SYSTEMS ENGINEER   ",1
"MANAGER, PHOTOGRAPHY","MANAGER, PHOTOGRAPHY  ",1
"MANAGER, PUBLIC INFORMATION (OTHER COMPENSATION)","MANAGER, PUBLIC INFORMATION   ",1
"MANAGER, TECHNOLOGY & ALLIANCE","MANAGER, TECHNOLOGY AND ALLIANCE  ",1
MEDIA & POLICY AIDE,MEDIA AND POLICY AIDE  ,1
MEDIA SPECIALIST,MEDIA SPECIALIST  ,1
MEMBER SERVICE AND STATUTORY,MEMBER SERVICE/STATUTORY  ,1
MGR OF OPERATIONS & EMERG PREP (OVERTIME),MANAGER OF OPERATIONS AND EMERGENCY PREPRESENTATIVE   ,1
MIN DEP STF DIR AND CHIEF COUNSEL,MINORITY DEPUTY STAFF DIRECTOR/CHIEF COUNSEL  ,1
"MIN. LEG ASST, WATER & POWER (OTHER COMPENSATION)","MINORITY LEGISLATIVE ASSISTANT, WATER AND POWER   ",1
NDC EXECUTIVE DIRECTOR,NDC EXECUTIVE DIRECTOR  ,1
NEW JERSEY DEPUTY DIRECTOR,NEW JERSEY DEPUTY DIRECTOR  ,1
NEW MEDIA DIRECTOR,NEW MEDIA DIRECTOR  ,1
NEW MEDIA SPECIALIST,NEW MEDIA SPECIALIST  ,1
NEW MEXICO STATE DEPUTY DIRECT,NEW MEXICO STATE DEPUTY DIRECTOR  ,1
NM DELEGATION EXECUTIVE DIREC,NM DELEGATION EXECUTIVE DIRECTOR  ,1
OFFICE AND PRODUCTION ASSIST (OVERTIME),OFFICE AND PRODUCTION ASSISTANT   ,1
OFFICE ASSISTANT (C) (OVERTIME),OFFICE ASSISTANT    ,1
OFFICE COORDINATOR (OVERTIME),OFFICE COORDINATOR   ,1
OFFICE MANAGER AND STAFF ASSISTANT (OTHER COMPENSATION),OFFICE MANAGER/STAFF ASSISTANT   ,1
PAID INTERN (OVERTIME),PAID INTERN   ,1
PART-TIME REP STAFF ASST,PART-TIME REPRESENTATIVE STAFF ASSISTANT  ,1
PAYROLL & BENEFITS ASSISTANT (OVERTIME),PAYROLL AND BENEFITS ASSISTANT   ,1
POLICY ADVISOR (OTHER COMPENSATION),POLICY ADVISOR   ,1
POLICY ANALYST (OTHER COMPENSATION),POLICY ANALYST   ,1
POLICY STAFF ASSISTANT,POLICY STAFF ASSISTANT  ,1
PRESS AIDE AND LEGISLATIVE AIDE,PRESS AIDE / LEGISLATIVE AIDE  ,1
PRESS ASST AND LEG CORRESPONDENT,PRESS ASSISTANT/LEGISLATIVE CORRESPONDENT  ,1
PRESS STAFF,PRESS STAFF  ,1
PRESS STAFF (OTHER COMPENSATION),PRESS STAFF   ,1
PRINCIPAL PHOTOGRAPHER (OTHER COMPENSATION),PRINCIPAL PHOTOGRAPHER   ,1
PRINTING CLERK (OTHER COMPENSATION),PRINTING CLERK   ,1
"PRO STAFF MBR, DISABILITY ASST (OTHER COMPENSATION)","PROFESSIONAL STAFF MEMBER, DISABILITY ASSISTANT   ",1
PRODUCTION AND ENGINEER SPEC (TEMP (OVERTIME),PRODUCTION/ENGINEER SPECIALIST ,1
PROF STAFF SC- ENERGY & ENVIRO (OTHER COMPENSATION),PROFESSIONAL STAFF SUBCOMMITTEE- ENERGY AND ENVIRONMENT   ,1
PROF. STAFF AND SUBCOMM. ON E & E (OTHER COMPENSATION),PROFESSIONAL STAFF/SUBCOMMITTEE ON ENERGY AND ENVIRONMENT   ,1
PROFESSIONAL STAFF (OTHER COMPENSATION),PROFESSIONAL STAFF MEMBER  ,1
PROFESSIONAL STAFF MEMBER (OTHER COMPENSATION),PROFESSIONAL STAFF MEMBER   ,1
PROFESSIONAL STAFF-SHARED,PROFESSIONAL STAFF-SHARED ,1
PUBLIC AFFAIRS LIAISON (OTHER COMPENSATION),PUBLIC AFFAIRS LIAISON   ,1
PUBLIC RELATIONS SPEC AND LEG ASST,PUBLIC RELATIONS SPECIALIST/LEGISLATIVE ASSISTANT  ,1
PUBLIC RELATIONS SPEC AND OFC MGR,PUBLIC RELATIONS SPECIALIST/OFFICE MANAGER  ,1
REC AND WAREHOUSE SPEC (A) (OVERTIME),RECEIVING/WAREHOUSE SPECIALIST    ,1
RECEIVING AND WAREHOUSE SPECIALIST (OVERTIME),RECEIVING/WAREHOUSE SPECIALIST   ,1
RECORDS MANAGEMENT SPECIALIST (OVERTIME),RECORDS MANAGEMENT SPECIALIST   ,1
RECOVERY ACT STAFFER,RECOVERY ACT STAFFER  ,1
REGIS & COMPLIANCE CLERK (OTHER COMPENSATION),REGIS AND COMPLIANCE CLERK   ,1
REGISTRAR (OVERTIME),REGISTRAR   ,1
REP DP ST DIR&DIR EUR AND EURAS AF,REPRESENTATIVE DEPUTY STAFF DIRECTOR AND DIRECTOR EUROPEAN/EURASIAN AFFAIRS  ,1
REPUBLICAN COMMITTEE COMM. DIR,REPUBLICAN COMMITTEE COMMUNICATIONS DIRECTOR  ,1
REPUBLICAN-ASST. PRESS ASST.,REPUBLICAN-ASSISTANT PRESS ASSISTANT  ,1
RESEARCH ASST. AND FULL COMM,RESEARCH ASSISTANT/FULL COMMUNICATION  ,1
RESEARCH FELLOW,RESEARCH FELLOW  ,1
RESEARCH STAFF ASSISTANT,RESEARCH STAFF ASSISTANT  ,1
SCHEDULER AND CONSTITUENT SVCS REP,SCHEDULER/CONSTITUENT SERVICES REPRESENTATIVE  ,1
SCHEDULER AND EXECUTIVE ASSISTANT (OTHER COMPENSATION),SCHEDULER/EXECUTIVE ASSISTANT   ,1
SCHEDULER AND FIELD REPRESENTATIVE,SCHEDULER/FIELD DIRECTOR REPRESENTATIVE  ,1
